crashID,dayType,timeOfDay
20241115,Weekday,Night
20241125,Weekday,Day
20246013,Weekday,Day
20241002,Weekday,Day
20243185,Weekday,Day
20244016,Weekday,Day
20243168,Weekend,Night
20246003,Weekend,Night
20246001,Weekend,Night
20244081,Weekend,Night
20241087,Weekend,Night
20241054,Weekend,Night
20244042,Weekend,Night
20243246,Weekday,Day
20241101,Weekday,Day
20241216,Weekday,Day
20241300,Weekday,Day
20243007,Weekday,Day
20241278,Weekday,Day
20241149,Weekday,Day
20241068,Weekend,Night
20243273,Weekend,Night
20244020,Weekend,Day
20244055,Weekend,Day
20241094,Weekend,Day
20243160,Weekend,Day
20243209,Weekend,Day
20244001,Weekend,Day
20243243,Weekend,Day
20246016,Weekend,Day
20241119,Weekend,Day
20241169,Weekend,Night
20241291,Weekend,Night
20243036,Weekend,Night
20244026,Weekend,Day
20241077,Weekend,Day
20241028,Weekend,Day
20241022,Weekend,Day
20243015,Weekend,Day
20244023,Weekend,Day
20241098,Weekend,Day
20243114,Weekend,Day
20241040,Weekend,Day
20241174,Weekend,Day
20241088,Weekend,Day
20241255,Weekend,Night
20241053,Weekend,Night
20243046,Weekend,Night
20241080,Weekday,Night
20243044,Weekday,Day
20241274,Weekday,Day
20243176,Weekday,Night
20241181,Weekday,Day
20243110,Weekday,Day
20244044,Weekday,Day
20243147,Weekday,Day
20244019,Weekday,Night
20241194,Weekday,Night
20241139,Weekday,Night
20241197,Weekday,Night
20243220,Weekday,Night
20243267,Weekday,Night
20241057,Weekday,Day
20243174,Weekday,Day
20241166,Weekday,Day
20243213,Weekday,Night
20241096,Weekday,Night
20242089,Weekday,Day
20243073,Weekday,Day
20241027,Weekday,Day
20241163,Weekday,Day
20243143,Weekday,Day
20241222,Weekday,Day
20241218,Weekday,Day
20243249,Weekend,Night
20243098,Weekend,Night
20241306,Weekend,Night
20243037,Weekday,Day
20244083,Weekday,Day
20241196,Weekday,Day
20244028,Weekday,Day
20243038,Weekday,Day
20242023,Weekday,Day
20242230,Weekday,Day
20242127,Weekday,Day
20242120,Weekday,Day
20241106,Weekday,Day
20241230,Weekday,Day
20241055,Weekday,Day
20241267,Weekday,Night
20242260,Weekday,Night
20242057,Weekend,Night
20243153,Weekend,Day
20242161,Weekend,Day
20241236,Weekend,Day
20243172,Weekend,Day
20241188,Weekend,Day
20243191,Weekend,Day
20241256,Weekend,Day
20242019,Weekend,Night
20243008,Weekend,Night
20243001,Weekend,Night
