crashID,vehicleID
20241115,V0
20241125,V1
20246013,V2
20241002,V3
20243185,V4
20244016,V5
20243168,V6
20246003,V7
20246001,V8
20244081,V9
20241087,V10
20241054,V11
20244042,V12
20243246,V13
20241101,V14
20241216,V15
20241300,V16
20243007,V17
20241278,V18
20241149,V19
20241068,V20
20243273,V21
20244020,V22
20244055,V23
20244055,V24
20241094,V25
20243160,V26
20243160,V27
20243209,V28
20244001,V29
20243243,V30
20246016,V31
20241119,V32
20241119,V33
20241169,V34
20241291,V35
20243036,V36
20244026,V37
20241077,V38
20241028,V39
20241022,V40
20243015,V41
20244023,V42
20241098,V43
20243114,V44
20243114,V45
20241040,V46
20241174,V47
20241088,V48
20241255,V49
20241053,V50
20241053,V51
20243046,V52
20243046,V53
20241080,V54
20243044,V55
20241274,V56
20243176,V57
20241181,V58
20243110,V59
20244044,V60
20243147,V61
20244019,V62
20241194,V63
20241139,V64
20241197,V65
20243220,V66
20243267,V67
20241057,V68
20243174,V69
20241166,V70
20243213,V71
20241096,V72
20242089,V73
20243073,V74
20241027,V75
20241163,V76
20243143,V77
20241222,V78
20241218,V79
20243249,V80
20243098,V81
20241306,V82
20243037,V83
20244083,V84
20241196,V85
20244028,V86
20244028,V87
20243038,V88
20242023,V89
20242230,V90
20242127,V91
20242120,V92
20241106,V93
20241230,V94
20241055,V95
20241267,V96
20242260,V97
20242057,V98
20243153,V99
20242161,V100
20241236,V101
20243172,V102
20241188,V103
20243191,V104
20243191,V105
20241256,V106
20241256,V107
20242019,V108
20243008,V109
20243001,V110
20243041,V111
20244021,V112
20243113,V113
20241107,V114
20243022,V115
20248002,V116
20242088,V117
20241173,V118
20241173,V119
20241004,V120
20246004,V121
20241201,V122
20241029,V123
20243005,V124
20241261,V125
20244024,V126
20241215,V127
20243186,V128
20243208,V129
20241134,V130
20243040,V131
20243040,V132
20241263,V133
20241302,V134
20241147,V135
20243248,V136
20243096,V137
20241150,V138
20241247,V139
20241234,V140
20242110,V141
20242052,V142
20243247,V143
20243144,V144
20241235,V145
20243087,V146
20243087,V147
20244061,V148
20241009,V149
20241072,V150
20243129,V151
20242219,V152
20241219,V153
20244010,V154
20244040,V155
20243171,V156
20242075,V157
20243079,V158
20241045,V159
20243017,V160
20243017,V161
20241160,V162
20241081,V163
20241135,V164
20241209,V165
20242140,V166
20242140,V167
20242142,V168
20243107,V169
20243020,V170
20241151,V171
20243158,V172
20241286,V173
20243102,V174
20241303,V175
20246029,V176
20248005,V177
20244018,V178
20241060,V179
20241060,V180
20242022,V181
20241037,V182
20241257,V183
20241128,V184
20243089,V185
20242181,V186
20243082,V187
20243150,V188
20243170,V189
20243239,V190
20242040,V191
20243084,V192
20241030,V193
20243127,V194
20243003,V195
20243266,V196
20241042,V197
20243121,V198
