crashID,age,gender,roadUser,ageGroup,personID
20241115,74,Male,Driver,65_to_74,P0
20241125,19,Female,Driver,17_to_25,P1
20246013,33,Female,Driver,26_to_39,P2
20241002,32,Female,Driver,26_to_39,P3
20243185,61,Female,Passenger,40_to_64,P4
20244016,47,Male,Motorcycle rider,40_to_64,P5
20243168,29,Female,Passenger,26_to_39,P6
20246003,19,Male,Motorcycle rider,17_to_25,P7
20246001,55,Female,Driver,40_to_64,P8
20244081,45,Female,Driver,40_to_64,P9
20241087,50,Male,Pedestrian,40_to_64,P10
20241054,45,Male,Driver,40_to_64,P11
20244042,61,Male,Driver,40_to_64,P12
20243246,74,Male,Pedestrian,65_to_74,P13
20241101,25,Male,Driver,17_to_25,P14
20241216,4,Male,Pedestrian,0_to_16,P15
20241300,27,Male,Driver,26_to_39,P16
20243007,66,Male,Driver,65_to_74,P17
20241278,27,Male,Driver,26_to_39,P18
20241149,65,Female,Pedestrian,65_to_74,P19
20241068,32,Male,Driver,26_to_39,P20
20243273,25,Male,Driver,17_to_25,P21
20244020,69,Male,Motorcycle rider,65_to_74,P22
20244055,59,Female,Driver,40_to_64,P23
20244055,68,Female,Passenger,65_to_74,P24
20241094,69,Male,Motorcycle rider,65_to_74,P25
20243160,68,Female,Passenger,65_to_74,P26
20243160,76,Male,Driver,75_or_older,P27
20243209,35,Male,Motorcycle rider,26_to_39,P28
20244001,55,Male,Motorcycle rider,40_to_64,P29
20243243,63,Male,Motorcycle rider,40_to_64,P30
20246016,66,Female,Passenger,65_to_74,P31
20241119,61,Male,Pedal cyclist,40_to_64,P32
20241119,30,Female,Driver,26_to_39,P33
20241169,34,Male,Driver,26_to_39,P34
20241291,26,Male,Driver,26_to_39,P35
20243036,46,Male,Motorcycle rider,40_to_64,P36
20244026,50,Female,Pedestrian,40_to_64,P37
20241077,85,Female,Pedestrian,75_or_older,P38
20241028,92,Female,Driver,75_or_older,P39
20241022,76,Male,Driver,75_or_older,P40
20243015,60,Male,Motorcycle rider,40_to_64,P41
20244023,74,Female,Driver,65_to_74,P42
20241098,26,Male,Motorcycle rider,26_to_39,P43
20243114,60,Female,Driver,40_to_64,P44
20243114,59,Female,Passenger,40_to_64,P45
20241040,45,Male,Motorcycle rider,40_to_64,P46
20241174,90,Female,Driver,75_or_older,P47
20241088,32,Male,Driver,26_to_39,P48
20241255,49,Male,Driver,40_to_64,P49
20241053,21,Male,Driver,17_to_25,P50
20241053,21,Male,Passenger,17_to_25,P51
20243046,16,Male,Driver,0_to_16,P52
20243046,22,Female,Passenger,17_to_25,P53
20241080,21,Female,Driver,17_to_25,P54
20243044,23,Male,Passenger,17_to_25,P55
20241274,80,Female,Passenger,75_or_older,P56
20243176,23,Male,Passenger,17_to_25,P57
20241181,64,Female,Pedestrian,40_to_64,P58
20243110,17,Female,Driver,17_to_25,P59
20244044,71,Male,Motorcycle rider,65_to_74,P60
20243147,66,Male,Driver,65_to_74,P61
20244019,60,Male,Motorcycle rider,40_to_64,P62
20241194,54,Male,Driver,40_to_64,P63
20241139,18,Male,Motorcycle rider,17_to_25,P64
20241197,24,Male,Driver,17_to_25,P65
20243220,27,Male,Pedestrian,26_to_39,P66
20243267,38,Male,Driver,26_to_39,P67
20241057,97,Female,Passenger,75_or_older,P68
20243174,83,Male,Driver,75_or_older,P69
20241166,49,Male,Driver,40_to_64,P70
20243213,36,Male,Driver,26_to_39,P71
20241096,70,Male,Driver,65_to_74,P72
20242089,29,Female,Driver,26_to_39,P73
20243073,26,Male,Motorcycle rider,26_to_39,P74
20241027,43,Male,Driver,40_to_64,P75
20241163,61,Male,Motorcycle rider,40_to_64,P76
20243143,52,Male,Driver,40_to_64,P77
20241222,22,Male,Motorcycle rider,17_to_25,P78
20241218,53,Male,Driver,40_to_64,P79
20243249,44,Male,Motorcycle rider,40_to_64,P80
20243098,57,Female,Passenger,40_to_64,P81
20241306,18,Male,Driver,17_to_25,P82
20243037,18,Male,Passenger,17_to_25,P83
20244083,53,Male,Driver,40_to_64,P84
20241196,25,Male,Motorcycle rider,17_to_25,P85
20244028,44,Female,Passenger,40_to_64,P86
20244028,64,Female,Passenger,40_to_64,P87
20243038,17,Male,Driver,17_to_25,P88
20242023,43,Female,Pedestrian,40_to_64,P89
20242230,83,Female,Driver,75_or_older,P90
20242127,71,Male,Pedal cyclist,65_to_74,P91
20242120,69,Male,Motorcycle rider,65_to_74,P92
20241106,87,Male,Passenger,75_or_older,P93
20241230,58,Female,Pedestrian,40_to_64,P94
20241055,45,Male,Driver,40_to_64,P95
20241267,43,Male,Motorcycle rider,40_to_64,P96
20242260,38,Male,Driver,26_to_39,P97
20242057,15,Male,Driver,0_to_16,P98
20243153,27,Male,Driver,26_to_39,P99
20242161,63,Male,Pedestrian,40_to_64,P100
20241236,38,Male,Motorcycle rider,26_to_39,P101
20243172,36,Male,Pedal cyclist,26_to_39,P102
20241188,47,Male,Motorcycle rider,40_to_64,P103
20243191,78,Female,Driver,75_or_older,P104
20243191,19,Female,Driver,17_to_25,P105
