personID,crashID
P0,20241115
P1,20241125
P2,20246013
P3,20241002
P4,20243185
P5,20244016
P6,20243168
P7,20246003
P8,20246001
P9,20244081
P10,20241087
P11,20241054
P12,20244042
P13,20243246
P14,20241101
P15,20241216
P16,20241300
P17,20243007
P18,20241278
P19,20241149
P20,20241068
P21,20243273
P22,20244020
P23,20244055
P24,20244055
P25,20241094
P26,20243160
P27,20243160
P28,20243209
P29,20244001
P30,20243243
P31,20246016
P32,20241119
P33,20241119
P34,20241169
P35,20241291
P36,20243036
P37,20244026
P38,20241077
P39,20241028
P40,20241022
P41,20243015
P42,20244023
P43,20241098
P44,20243114
P45,20243114
P46,20241040
P47,20241174
P48,20241088
P49,20241255
P50,20241053
P51,20241053
P52,20243046
P53,20243046
P54,20241080
P55,20243044
P56,20241274
P57,20243176
P58,20241181
P59,20243110
P60,20244044
P61,20243147
P62,20244019
P63,20241194
P64,20241139
P65,20241197
P66,20243220
P67,20243267
P68,20241057
P69,20243174
P70,20241166
P71,20243213
P72,20241096
P73,20242089
P74,20243073
P75,20241027
P76,20241163
P77,20243143
P78,20241222
P79,20241218
P80,20243249
P81,20243098
P82,20241306
P83,20243037
P84,20244083
P85,20241196
P86,20244028
P87,20244028
P88,20243038
P89,20242023
P90,20242230
P91,20242127
P92,20242120
P93,20241106
P94,20241230
P95,20241055
P96,20241267
P97,20242260
P98,20242057
P99,20243153
P100,20242161
P101,20241236
P102,20243172
P103,20241188
P104,20243191
P105,20243191
P106,20241256
P107,20241256
P108,20242019
P109,20243008
P110,20243001
P111,20243041
P112,20244021
P113,20243113
P114,20241107
P115,20243022
P116,20248002
P117,20242088
P118,20241173
P119,20241173
P120,20241004
P121,20246004
P122,20241201
P123,20241029
P124,20243005
P125,20241261
P126,20244024
P127,20241215
P128,20243186
P129,20243208
P130,20241134
P131,20243040
P132,20243040
P133,20241263
P134,20241302
P135,20241147
P136,20243248
P137,20243096
P138,20241150
P139,20241247
P140,20241234
P141,20242110
P142,20242052
P143,20243247
P144,20243144
P145,20241235
P146,20243087
P147,20243087
P148,20244061
P149,20241009
P150,20241072
P151,20243129
P152,20242219
P153,20241219
P154,20244010
P155,20244040
P156,20243171
P157,20242075
P158,20243079
P159,20241045
P160,20243017
P161,20243017
P162,20241160
P163,20241081
P164,20241135
P165,20241209
P166,20242140
P167,20242140
P168,20242142
P169,20243107
P170,20243020
P171,20241151
P172,20243158
P173,20241286
P174,20243102
P175,20241303
P176,20246029
P177,20248005
P178,20244018
P179,20241060
P180,20241060
P181,20242022
P182,20241037
P183,20241257
P184,20241128
P185,20243089
P186,20242181
P187,20243082
P188,20243150
P189,20243170
P190,20243239
P191,20242040
P192,20243084
P193,20241030
P194,20243127
P195,20243003
P196,20243266
P197,20241042
P198,20243121
P199,20241175
P200,20243072
P201,20244057
P202,20241091
P203,20243201
P204,20242135
P205,20243225
P206,20241167
P207,20244060
P208,20241268
P209,20244013
P210,20243235
P211,20243235
P212,20244059
P213,20244059
P214,20241266
P215,20243131
P216,20242080
P217,20241287
P218,20241152
P219,20243161
P220,20242042
P221,20243210
P222,20244025
P223,20243088
P224,20241211
P225,20241211
P226,20242007
P227,20241204
P228,20244062
P229,20241137
P230,20243117
P231,20242081
P232,20243206
P233,20248003
P234,20244032
P235,20241153
P236,20242138
P237,20243198
P238,20242107
P239,20243080
P240,20242204
P241,20242139
P242,20241103
P243,20242129
P244,20244027
P245,20243006
P246,20243108
P247,20243212
