crashID,crashType,articulatedTruckInvolvement,busInvolvement,heavyRigidTruckInvolvement,vehicleID
20241115,Single,No,No,No,V0
20241125,Single,No,No,No,V1
20246013,Single,No,No,No,V2
20241002,Single,No,No,No,V3
20243185,Single,No,No,No,V4
20244016,Single,No,No,No,V5
20243168,Single,No,No,No,V6
20246003,Single,No,No,No,V7
20246001,Single,No,No,No,V8
20244081,Single,No,No,No,V9
20241087,Single,No,No,No,V10
20241054,Single,Yes,No,No,V11
20244042,Single,No,No,No,V12
20243246,Single,No,No,No,V13
20241101,Single,Yes,No,No,V14
20241216,Single,No,No,No,V15
20241300,Single,No,No,No,V16
20243007,Single,No,No,No,V17
20241278,Single,No,No,No,V18
20241149,Single,No,No,No,V19
20241068,Single,Yes,Yes,No,V20
20243273,Single,No,No,No,V21
20244020,Single,No,No,No,V22
20244055,Multiple,No,No,No,V23
20244055,Multiple,No,No,No,V24
20241094,Single,No,No,No,V25
20243160,Multiple,No,No,No,V26
20243160,Multiple,No,No,No,V27
20243209,Single,No,No,No,V28
20244001,Single,No,No,No,V29
20243243,Single,No,No,Yes,V30
20246016,Single,No,No,No,V31
20241119,Multiple,No,No,No,V32
20241119,Multiple,No,No,No,V33
20241169,Single,No,No,No,V34
20241291,Single,Yes,No,No,V35
20243036,Single,No,No,No,V36
20244026,Single,No,No,No,V37
20241077,Single,No,No,No,V38
20241028,Single,No,No,No,V39
20241022,Single,No,No,No,V40
20243015,Single,No,No,No,V41
20244023,Single,No,No,No,V42
20241098,Single,No,No,No,V43
20243114,Multiple,No,No,No,V44
20243114,Multiple,No,No,No,V45
20241040,Single,No,No,No,V46
20241174,Single,No,No,No,V47
20241088,Single,No,No,No,V48
20241255,Single,No,No,No,V49
20241053,Multiple,No,No,No,V50
20241053,Multiple,No,No,No,V51
20243046,Multiple,No,No,No,V52
20243046,Multiple,No,No,No,V53
20241080,Single,No,No,No,V54
20243044,Single,Yes,No,No,V55
20241274,Single,No,No,No,V56
20243176,Single,No,No,No,V57
20241181,Single,Yes,No,No,V58
20243110,Single,No,No,No,V59
20244044,Single,No,No,No,V60
20243147,Single,No,No,No,V61
20244019,Single,No,No,No,V62
20241194,Single,Yes,No,Yes,V63
20241139,Single,No,Yes,No,V64
20241197,Single,Yes,No,No,V65
20243220,Single,No,No,No,V66
20243267,Single,No,No,No,V67
20241057,Single,No,No,No,V68
20243174,Single,No,No,No,V69
20241166,Single,No,No,No,V70
20243213,Single,Yes,No,No,V71
20241096,Single,No,No,No,V72
