crash_id,day_of_week,day_type
20241115,Weekday,Friday
20241125,Weekday,Friday
20246013,Weekday,Friday
20241002,Weekday,Friday
20243185,Weekday,Friday
20244016,Weekday,Friday
20243168,Weekend,Friday
20246003,Weekend,Friday
20246001,Weekend,Friday
20244081,Weekend,Friday
20241087,Weekend,Friday
20241054,Weekend,Friday
20244042,Weekend,Monday
20243246,Weekday,Monday
20241101,Weekday,Monday
20241216,Weekday,Monday
20241300,Weekday,Monday
20243007,Weekday,Monday
20241278,Weekday,Monday
20241149,Weekday,Monday
20241068,Weekend,Saturday
20243273,Weekend,Saturday
20244020,Weekend,Saturday
20244055,Weekend,Saturday
20241094,Weekend,Saturday
20243160,Weekend,Saturday
20243209,Weekend,Saturday
20244001,Weekend,Saturday
20243243,Weekend,Saturday
20246016,Weekend,Saturday
20241119,Weekend,Saturday
20241169,Weekend,Saturday
20241291,Weekend,Sunday
20243036,Weekend,Sunday
20244026,Weekend,Sunday
20241077,Weekend,Sunday
20241028,Weekend,Sunday
20241022,Weekend,Sunday
20243015,Weekend,Sunday
20244023,Weekend,Sunday
20241098,Weekend,Sunday
20243114,Weekend,Sunday
20241040,Weekend,Sunday
20241174,Weekend,Sunday
20241088,Weekend,Sunday
20241255,Weekend,Sunday
20241053,Weekend,Sunday
20243046,Weekend,Sunday
20241080,Weekday,Thursday
20243044,Weekday,Thursday
20241274,Weekday,Thursday
20243176,Weekday,Tuesday
20241181,Weekday,Tuesday
20243110,Weekday,Tuesday
20244044,Weekday,Tuesday
20243147,Weekday,Tuesday
20244019,Weekday,Tuesday
20241194,Weekday,Tuesday
20241139,Weekday,Tuesday
20241197,Weekday,Tuesday
20243220,Weekday,Wednesday
20243267,Weekday,Wednesday
20241057,Weekday,Wednesday
20243174,Weekday,Wednesday
20241166,Weekday,Wednesday
20243213,Weekday,Friday
20241096,Weekday,Friday
20242089,Weekday,Friday
20243073,Weekday,Friday
20241027,Weekday,Friday
20241163,Weekday,Friday
20243143,Weekday,Friday
20241222,Weekday,Friday
20241218,Weekday,Friday
20243249,Weekend,Friday
20243098,Weekend,Friday
20241306,Weekend,Friday
20243037,Weekday,Monday
20244083,Weekday,Monday
20241196,Weekday,Monday
20244028,Weekday,Monday
20243038,Weekday,Monday
20242023,Weekday,Monday
20242230,Weekday,Monday
20242127,Weekday,Monday
20242120,Weekday,Monday
20241106,Weekday,Monday
20241230,Weekday,Monday
20241055,Weekday,Monday
20241267,Weekday,Monday
20242260,Weekday,Monday
20242057,Weekend,Saturday
20243153,Weekend,Saturday
20242161,Weekend,Saturday
20241236,Weekend,Saturday
20243172,Weekend,Saturday
20241188,Weekend,Saturday
20243191,Weekend,Saturday
20241256,Weekend,Saturday
20242019,Weekend,Saturday
20243008,Weekend,Saturday
20243001,Weekend,Saturday
20243041,Weekend,Saturday
20244021,Weekend,Saturday
20243113,Weekend,Saturday
20241107,Weekend,Saturday
20243022,Weekend,Sunday
20248002,Weekend,Sunday
20242088,Weekend,Sunday
20241173,Weekend,Sunday
20241004,Weekend,Sunday
20246004,Weekend,Sunday
20241201,Weekend,Sunday
20241029,Weekend,Sunday
20243005,Weekend,Sunday
20241261,Weekend,Sunday
20244024,Weekend,Sunday
20241215,Weekend,Sunday
20243186,Weekend,Sunday
20243208,Weekend,Sunday
20241134,Weekday,Thursday
20243040,Weekday,Thursday
20241263,Weekday,Thursday
20241302,Weekday,Thursday
20241147,Weekday,Thursday
20243248,Weekday,Thursday
20243096,Weekday,Thursday
20241150,Weekday,Thursday
20241247,Weekday,Thursday
20241234,Weekday,Thursday
20242110,Weekday,Thursday
20242052,Weekday,Thursday
20243247,Weekday,Tuesday
20243144,Weekday,Tuesday
20241235,Weekday,Tuesday
20243087,Weekday,Tuesday
20244061,Weekday,Tuesday
20241009,Weekday,Tuesday
20241072,Weekday,Tuesday
20243129,Weekday,Tuesday
20242219,Weekday,Tuesday
20241219,Weekday,Tuesday
20244010,Weekday,Tuesday
20244040,Weekday,Tuesday
20243171,Weekday,Tuesday
20242075,Weekday,Tuesday
20243079,Weekday,Tuesday
20241045,Weekday,Tuesday
20243017,Weekday,Tuesday
20241160,Weekday,Wednesday
20241081,Weekday,Wednesday
20241135,Weekday,Wednesday
20241209,Weekday,Wednesday
20242140,Weekday,Friday
20242142,Weekday,Friday
20243107,Weekday,Friday
20243020,Weekday,Friday
20241151,Weekday,Friday
20243158,Weekday,Friday
20241286,Weekday,Friday
20243102,Weekday,Friday
20241303,Weekday,Friday
20246029,Weekday,Friday
20248005,Weekday,Friday
20244018,Weekend,Friday
20241060,Weekend,Friday
20242022,Weekend,Friday
