crash_id,lga_name
20241115,Wagga Wagga
20241125,Hawkesbury
20246013,Northern Midlands
20241002,Armidale
20243185,Lockyer Valley
20244016,Wakefield
20243168,Southern Downs
20246003,Brighton
20246001,West Tamar
20244081,Mid Murray
20241087,Blue Mountains
20241054,Upper Lachlan
20244042,Wattle Range
20243246,Cairns
20241101,Wollongong
20241216,Penrith
20241300,Upper Hunter
20243007,South Burnett
20241278,Mid-Western
20241149,Canterbury-Bankstown
20241068,Greater Hume
20243273,Southern Downs
20244020,Barossa
20244055,Wattle Range
20241094,Port Macquarie-Hastings
20243160,Mackay
20243209,Douglas
20244001,Yankalilla
20243243,Logan
20246016,Dorset
20241119,Armidale
20241169,Nambucca Valley
20241291,Narromine
20243036,Fraser Coast
20244026,Unincorporated SA
20241077,Shellharbour
20241028,Wollongong
20241022,Narrabri
20243015,Logan
20244023,Barossa
20241098,Nambucca Valley
20243114,Cook
20241040,Tenterfield
20241174,Central Coast (NSW)
20241088,Tamworth
20241255,Hilltops
20241053,Forbes
20243046,Toowoomba
20241080,Lake Macquarie
20243044,Livingstone
20241274,Blacktown
20243176,Cairns
20241181,Balranald
20243110,Lockhart River
20244044,Light
20243147,Cassowary Coast
20244019,Tumby Bay
20241194,Liverpool
20241139,Cumberland
20241197,Muswellbrook
20243220,Cassowary Coast
20243267,Moreton Bay
20241057,Ballina
20243174,Logan
20241166,Kyogle
20243213,Bundaberg
20241096,Tenterfield
20242089,Melbourne
20243073,Brisbane
20241027,Snowy Valleys
20241163,Tamworth
20243143,Whitsunday
20241222,Fairfield
20241218,Yass Valley
20243249,Central Highlands (Qld)
20243098,Bundaberg
20241306,The Hills
20243037,Cairns
20244083,Salisbury
20241196,Port Stephens
20244028,Yankalilla
20243038,Southern Downs
20242023,Macedon Ranges
20242230,Moyne
20242127,Cardinia
20242120,East Gippsland
20241106,Ballina
20241230,Hornsby
20241055,Central Coast (NSW)
20241267,Muswellbrook
20242260,Whittlesea
20242057,Macedon Ranges
20243153,Mareeba
20242161,Whittlesea
20241236,Mid-Coast
20243172,Rockhampton
20241188,Mid-Coast
20243191,Ipswich
20241256,Muswellbrook
20242019,Glenelg
20243008,Bundaberg
20243001,Douglas
20243041,Western Downs
20244021,Port Adelaide Enfield
20243113,Brisbane
20241107,Cabonne
20243022,Gold Coast
20248002,Unincorporated ACT
20242088,Frankston
20241173,Moree Plains
20241004,Parramatta
20246004,Meander Valley
20241201,Queanbeyan-Palerang
20241029,Snowy Monaro
20243005,Bundaberg
20241261,Wollongong
20244024,Barossa
20241215,Federation
20243186,Toowoomba
20243208,Brisbane
20241134,Blacktown
20243040,Southern Downs
20241263,Cowra
20241302,Goulburn Mulwaree
20241147,The Hills
20243248,Moreton Bay
20243096,Gympie
20241150,Willoughby
20241247,Shoalhaven
20241234,Queanbeyan-Palerang
20242110,Greater Bendigo
20242052,Nillumbik
20243247,Western Downs
20243144,Rockhampton
20241235,Wollongong
20243087,South Burnett
20244061,Tatiara
20241009,Tweed
20241072,Mid-Coast
20243129,Ipswich
20242219,Ararat
20241219,Hawkesbury
20244010,Light
20244040,Salisbury
20243171,Cairns
20242075,Colac Otway
20243079,McKinlay
20241045,Singleton
20243017,Gladstone
20241160,Wagga Wagga
20241081,Lithgow
20241135,Moree Plains
20241209,Campbelltown (NSW)
20242140,Moyne
20242142,Macedon Ranges
20243107,Cairns
20243020,Sunshine Coast
20241151,Warrumbungle
20243158,Whitsunday
20241286,Upper Hunter
20243102,Noosa
20241303,Port Stephens
20246029,West Tamar
20248005,Unincorporated ACT
20244018,Gawler
20241060,Mid-Coast
20242022,Alpine
20241037,Central Coast (NSW)
20241257,Cabonne
20241128,Blacktown
20243089,Brisbane
20242181,Baw Baw
20243082,Isaac
20243150,Sunshine Coast
20243170,Brisbane
20243239,Maranoa
20242040,Southern Grampians
20243084,Moreton Bay
20241030,Cessnock
20243127,Scenic Rim
20243003,Somerset
20243266,Hinchinbrook
20241042,Blue Mountains
20243121,Scenic Rim
20241175,Wollongong
20243072,Mackay
20244057,Playford
20241091,Cobar
20243201,South Burnett
20242135,Ararat
20243225,Somerset
20241167,Campbelltown (NSW)
20244060,Adelaide Hills
20241268,Bega Valley
20244013,Tea Tree Gully
20243235,Moreton Bay
20244059,Wattle Range
20241266,Kiama
20243131,Moreton Bay
20242080,Moyne
20241287,Wollondilly
20241152,Mid-Coast
20243161,Scenic Rim
20242042,Casey
20243210,Gladstone
20244025,Northern Areas
20243088,Tablelands
20241211,Sydney
20242007,Murrindindi
20241204,Wollongong
20244062,Port Adelaide Enfield
20241137,Albury
20243117,Gold Coast
20242081,Boroondara
20243206,Redland
20248003,Unincorporated ACT
20244032,Playford
20241153,Penrith
20242138,South Gippsland
20243198,Hinchinbrook
20242107,Boroondara
20243080,Fraser Coast
20242204,Yarra Ranges
20242139,Colac Otway
20241103,Bega Valley
20242129,Surf Coast
20244027,Mount Barker
20243006,Brisbane
20243108,Bundaberg
20243212,Gold Coast
20241237,Cessnock
20241052,Maitland
20241308,Federation
20246027,Hobart
20244072,Mitcham
20241195,Clarence Valley
20244043,Adelaide
20241102,Penrith
20243194,Brisbane
20243070,Brisbane
20243165,Moreton Bay
20241063,Central Coast (NSW)
20241132,Wollongong
20241292,Central Coast (NSW)
20241189,Lismore
20241233,Narromine
20242115,Greater Shepparton
20242167,Merri-bek
20241016,Narrandera
20243234,Logan
20246025,Huon Valley
20241220,Cessnock
20241034,Griffith
20242012,Wodonga
20243009,Sunshine Coast
20241269,Mid-Coast
20242093,Darebin
20242176,Murrindindi
20242255,Ballarat
20241066,Wingecarribee
20242175,Cardinia
20243207,Rockhampton
20242029,Maroondah
20241246,Albury
20241078,Tweed
20243064,North Burnett
20241013,Moree Plains
20246019,Huon Valley
20242257,Mornington Peninsula
20241138,Fairfield
20244014,Unley
20244069,Alexandrina
20242053,Yarra Ranges
20243111,Whitsunday
20243067,Gympie
20242186,Melton
20242250,Frankston
20243167,Burdekin
20243106,Brisbane
20242098,Knox
20241179,Mid-Coast
20242070,Whittlesea
20243261,Mareeba
20243227,Western Downs
20242243,Yarra Ranges
20242102,Monash
20241109,Unincorporated NSW
20243187,South Burnett
20241301,Blacktown
20243135,Western Downs
20241248,Cumberland
20243268,Barcaldine
20242071,Wyndham
20241020,Glen Innes Severn
20241294,Lismore
20241304,Ballina
20242123,Yarra Ranges
20242144,Yarra Ranges
20241199,Northern Beaches
20243066,Townsville
20243233,Gladstone
20243203,Livingstone
20242209,Greater Shepparton
20242056,Yarra Ranges
20242130,Golden Plains
20243109,Cassowary Coast
20243010,Cook
20243181,Ipswich
20246018,Clarence
20241071,Georges River
20241186,Lithgow
20243078,Logan
20241223,Wollongong
20241221,Maitland
20241143,Greater Hume
20243242,Western Downs
20242189,Kingston (Vic.)
20242170,Manningham
20243043,Sunshine Coast
20241140,Bathurst
20244063,Wudinna
20241131,Inverell
20242172,Brimbank
20241111,Maitland
20242055,Darebin
20241017,Penrith
20244067,Charles Sturt
20246024,Flinders (Tas.)
20241254,Mid-Coast
20243011,Scenic Rim
20246011,Burnie
20242177,Mornington Peninsula
20241127,Armidale
20241210,Tamworth
20242132,Greater Shepparton
20242184,Ballarat
20241253,Dubbo
20243024,Sunshine Coast
20242224,Melton
20243031,Gold Coast
20242069,Darebin
20243156,Ipswich
20242251,Greater Geelong
20244034,Adelaide Hills
20242090,Cardinia
20243231,Whitsunday
20242194,Mitchell
20243142,North Burnett
20242043,Wyndham
20243124,Mackay
20244007,Onkaparinga
20242060,Stonnington
20243104,Douglas
20244041,Unincorporated SA
20246026,Launceston
20243021,Gladstone
20242155,Indigo
20242032,Yarra
20241285,Canterbury-Bankstown
20244066,Wakefield
20242064,Port Phillip
20242164,Cardinia
20244035,Yankalilla
20243018,Logan
20242086,Frankston
20243217,Cassowary Coast
20243251,Scenic Rim
20243058,Gladstone
20244046,Yankalilla
20243085,Rockhampton
20244039,Light
20243240,Mackay
20246002,Waratah-Wynyard
20242099,Campaspe
20243063,Logan
20241176,Wollongong
20247022,Barkly
20241086,Port Stephens
20241224,Port Stephens
20241265,Blacktown
20241202,Inverell
20246023,Clarence
20241293,Forbes
20241299,Blayney
20244078,Campbelltown (SA)
20243164,Gold Coast
20242201,Latrobe (Vic.)
20241307,Lithgow
20242074,Surf Coast
