crash_id,person_id
20241115,20241115_Driver_Male_74_65_to_74
20241125,20241125_Driver_Female_19_17_to_25
20246013,20246013_Driver_Female_33_26_to_39
20241002,20241002_Driver_Female_32_26_to_39
20243185,20243185_Passenger_Female_61_40_to_64
20244016,20244016_Motorcycle rider_Male_47_40_to_64
20243168,20243168_Passenger_Female_29_26_to_39
20246003,20246003_Motorcycle rider_Male_19_17_to_25
20246001,20246001_Driver_Female_55_40_to_64
20244081,20244081_Driver_Female_45_40_to_64
20241087,20241087_Pedestrian_Male_50_40_to_64
20241054,20241054_Driver_Male_45_40_to_64
20244042,20244042_Driver_Male_61_40_to_64
20243246,20243246_Pedestrian_Male_74_65_to_74
20241101,20241101_Driver_Male_25_17_to_25
20241216,20241216_Pedestrian_Male_4_0_to_16
20241300,20241300_Driver_Male_27_26_to_39
20243007,20243007_Driver_Male_66_65_to_74
20241278,20241278_Driver_Male_27_26_to_39
20241149,20241149_Pedestrian_Female_65_65_to_74
20241068,20241068_Driver_Male_32_26_to_39
20243273,20243273_Driver_Male_25_17_to_25
20244020,20244020_Motorcycle rider_Male_69_65_to_74
20244055,20244055_Driver_Female_59_40_to_64
20244055,20244055_Passenger_Female_68_65_to_74
20241094,20241094_Motorcycle rider_Male_69_65_to_74
20243160,20243160_Passenger_Female_68_65_to_74
20243160,20243160_Driver_Male_76_75_or_older
20243209,20243209_Motorcycle rider_Male_35_26_to_39
20244001,20244001_Motorcycle rider_Male_55_40_to_64
20243243,20243243_Motorcycle rider_Male_63_40_to_64
20246016,20246016_Passenger_Female_66_65_to_74
20241119,20241119_Pedal cyclist_Male_61_40_to_64
20241119,20241119_Driver_Female_30_26_to_39
20241169,20241169_Driver_Male_34_26_to_39
20241291,20241291_Driver_Male_26_26_to_39
20243036,20243036_Motorcycle rider_Male_46_40_to_64
20244026,20244026_Pedestrian_Female_50_40_to_64
20241077,20241077_Pedestrian_Female_85_75_or_older
20241028,20241028_Driver_Female_92_75_or_older
20241022,20241022_Driver_Male_76_75_or_older
20243015,20243015_Motorcycle rider_Male_60_40_to_64
20244023,20244023_Driver_Female_74_65_to_74
20241098,20241098_Motorcycle rider_Male_26_26_to_39
20243114,20243114_Driver_Female_60_40_to_64
20243114,20243114_Passenger_Female_59_40_to_64
20241040,20241040_Motorcycle rider_Male_45_40_to_64
20241174,20241174_Driver_Female_90_75_or_older
20241088,20241088_Driver_Male_32_26_to_39
20241255,20241255_Driver_Male_49_40_to_64
20241053,20241053_Driver_Male_21_17_to_25
20241053,20241053_Passenger_Male_21_17_to_25
20243046,20243046_Driver_Male_16_0_to_16
20243046,20243046_Passenger_Female_22_17_to_25
20241080,20241080_Driver_Female_21_17_to_25
20243044,20243044_Passenger_Male_23_17_to_25
20241274,20241274_Passenger_Female_80_75_or_older
20243176,20243176_Passenger_Male_23_17_to_25
20241181,20241181_Pedestrian_Female_64_40_to_64
20243110,20243110_Driver_Female_17_17_to_25
