crash_id,remoteness
20241115,Inner Regional Australia
20241125,Inner Regional Australia
20246013,Inner Regional Australia
20241002,Outer Regional Australia
20243185,Inner Regional Australia
20244016,Outer Regional Australia
20243168,Inner Regional Australia
20246003,Inner Regional Australia
20246001,Outer Regional Australia
20244081,Outer Regional Australia
20241087,Major Cities of Australia
20241054,Inner Regional Australia
20244042,Outer Regional Australia
20243246,Outer Regional Australia
20241101,Major Cities of Australia
20241216,Major Cities of Australia
20241300,Outer Regional Australia
20243007,Outer Regional Australia
20241278,Outer Regional Australia
20241149,Major Cities of Australia
20241068,Outer Regional Australia
20243273,Outer Regional Australia
20244020,Inner Regional Australia
20244055,Outer Regional Australia
20241094,Inner Regional Australia
20243160,Outer Regional Australia
20243209,Outer Regional Australia
20244001,Inner Regional Australia
20243243,Major Cities of Australia
20246016,Outer Regional Australia
20241119,Inner Regional Australia
20241169,Inner Regional Australia
20241291,Outer Regional Australia
20243036,Inner Regional Australia
20244026,Very Remote Australia
20241077,Major Cities of Australia
20241028,Major Cities of Australia
20241022,Outer Regional Australia
20243015,Inner Regional Australia
20244023,Inner Regional Australia
20241098,Inner Regional Australia
20243114,Remote Australia
20241040,Outer Regional Australia
20241174,Major Cities of Australia
20241088,Outer Regional Australia
20241255,Inner Regional Australia
20241053,Outer Regional Australia
20243046,Inner Regional Australia
20241080,Major Cities of Australia
20243044,Remote Australia
20241274,Major Cities of Australia
20243176,Outer Regional Australia
20241181,Outer Regional Australia
20243110,Very Remote Australia
20244044,Inner Regional Australia
20243147,Outer Regional Australia
20244019,Remote Australia
20241194,Major Cities of Australia
20241139,Major Cities of Australia
20241197,Inner Regional Australia
20243220,Outer Regional Australia
20243267,Inner Regional Australia
20241057,Inner Regional Australia
20243174,Inner Regional Australia
20241166,Inner Regional Australia
20243213,Inner Regional Australia
20241096,Outer Regional Australia
20242089,Major Cities of Australia
20243073,Major Cities of Australia
20241027,Outer Regional Australia
20241163,Outer Regional Australia
20243143,Outer Regional Australia
20241222,Major Cities of Australia
20241218,Inner Regional Australia
20243249,Remote Australia
20243098,Inner Regional Australia
20241306,Major Cities of Australia
20243037,Outer Regional Australia
20244083,Major Cities of Australia
20241196,Inner Regional Australia
20244028,Inner Regional Australia
20243038,Inner Regional Australia
20242023,Inner Regional Australia
20242230,Inner Regional Australia
20242127,Major Cities of Australia
20242120,Outer Regional Australia
20241106,Inner Regional Australia
20241230,Major Cities of Australia
20241055,Major Cities of Australia
20241267,Inner Regional Australia
20242260,Major Cities of Australia
20242057,Inner Regional Australia
20243153,Very Remote Australia
20242161,Major Cities of Australia
20241236,Inner Regional Australia
20243172,Inner Regional Australia
20241188,Inner Regional Australia
20243191,Inner Regional Australia
20241256,Inner Regional Australia
20242019,Outer Regional Australia
20243008,Inner Regional Australia
20243001,Outer Regional Australia
20243041,Outer Regional Australia
20244021,Major Cities of Australia
20243113,Major Cities of Australia
20241107,Outer Regional Australia
20243022,Major Cities of Australia
20248002,Major Cities of Australia
20242088,Major Cities of Australia
20241173,Outer Regional Australia
20241004,Major Cities of Australia
20246004,Outer Regional Australia
20241201,Major Cities of Australia
20241029,Outer Regional Australia
20243005,Inner Regional Australia
20241261,Major Cities of Australia
20244024,Inner Regional Australia
20241215,Outer Regional Australia
20243186,Inner Regional Australia
20243208,Major Cities of Australia
20241134,Major Cities of Australia
20243040,Inner Regional Australia
20241263,Inner Regional Australia
20241302,Inner Regional Australia
20241147,Major Cities of Australia
20243248,Major Cities of Australia
20243096,Inner Regional Australia
20241150,Major Cities of Australia
20241247,Inner Regional Australia
20241234,Inner Regional Australia
20242110,Inner Regional Australia
20242052,Inner Regional Australia
20243247,Outer Regional Australia
20243144,Inner Regional Australia
20241235,Inner Regional Australia
20243087,Inner Regional Australia
20244061,Remote Australia
20241009,Inner Regional Australia
20241072,Outer Regional Australia
20243129,Major Cities of Australia
20242219,Inner Regional Australia
20241219,Inner Regional Australia
20244010,Inner Regional Australia
20244040,Major Cities of Australia
20243171,Outer Regional Australia
20242075,Inner Regional Australia
20243079,Very Remote Australia
20241045,Inner Regional Australia
20243017,Outer Regional Australia
20241160,Inner Regional Australia
20241081,Inner Regional Australia
20241135,Outer Regional Australia
20241209,Major Cities of Australia
20242140,Inner Regional Australia
20242142,Inner Regional Australia
20243107,Outer Regional Australia
20243020,Major Cities of Australia
20241151,Outer Regional Australia
20243158,Outer Regional Australia
20241286,Outer Regional Australia
20243102,Major Cities of Australia
20241303,Major Cities of Australia
20246029,Outer Regional Australia
20248005,Major Cities of Australia
20244018,Major Cities of Australia
20241060,Inner Regional Australia
20242022,Inner Regional Australia
20241037,Major Cities of Australia
20241257,Inner Regional Australia
20241128,Major Cities of Australia
20243089,Major Cities of Australia
20242181,Inner Regional Australia
20243082,Remote Australia
20243150,Major Cities of Australia
20243170,Major Cities of Australia
20243239,Remote Australia
20242040,Outer Regional Australia
20243084,Major Cities of Australia
20241030,Inner Regional Australia
20243127,Inner Regional Australia
20243003,Inner Regional Australia
20243266,Remote Australia
20241042,Major Cities of Australia
20243121,Inner Regional Australia
20241175,Major Cities of Australia
20243072,Inner Regional Australia
20244057,Major Cities of Australia
20241091,Very Remote Australia
20243201,Outer Regional Australia
20242135,Outer Regional Australia
20243225,Inner Regional Australia
20241167,Major Cities of Australia
20244060,Inner Regional Australia
20241268,Outer Regional Australia
20244013,Major Cities of Australia
20243235,Major Cities of Australia
20244059,Outer Regional Australia
20241266,Inner Regional Australia
20243131,Major Cities of Australia
20242080,Outer Regional Australia
20241287,Inner Regional Australia
20241152,Inner Regional Australia
20243161,Inner Regional Australia
20242042,Major Cities of Australia
20243210,Outer Regional Australia
20244025,Outer Regional Australia
20243088,Outer Regional Australia
20241211,Major Cities of Australia
20242007,Inner Regional Australia
20241204,Major Cities of Australia
20244062,Major Cities of Australia
20241137,Inner Regional Australia
20243117,Major Cities of Australia
20242081,Major Cities of Australia
20243206,Major Cities of Australia
20248003,Major Cities of Australia
20244032,Inner Regional Australia
20241153,Major Cities of Australia
20242138,Inner Regional Australia
20243198,Outer Regional Australia
20242107,Major Cities of Australia
20243080,Inner Regional Australia
20242204,Inner Regional Australia
20242139,Inner Regional Australia
20241103,Outer Regional Australia
20242129,Inner Regional Australia
20244027,Inner Regional Australia
20243006,Major Cities of Australia
20243108,Inner Regional Australia
20243212,Major Cities of Australia
20241237,Major Cities of Australia
20241052,Inner Regional Australia
20241308,Outer Regional Australia
20246027,Inner Regional Australia
20244072,Major Cities of Australia
20241195,Inner Regional Australia
20244043,Major Cities of Australia
20241102,Major Cities of Australia
20243194,Major Cities of Australia
20243070,Major Cities of Australia
20243165,Major Cities of Australia
20241063,Major Cities of Australia
20241132,Major Cities of Australia
20241292,Major Cities of Australia
20241189,Inner Regional Australia
20241233,Outer Regional Australia
20242115,Inner Regional Australia
20242167,Major Cities of Australia
20241016,Outer Regional Australia
20243234,Major Cities of Australia
20246025,Outer Regional Australia
20241220,Inner Regional Australia
20241034,Outer Regional Australia
20242012,Inner Regional Australia
20243009,Major Cities of Australia
20241269,Inner Regional Australia
20242093,Major Cities of Australia
20242176,Inner Regional Australia
20242255,Inner Regional Australia
20241066,Inner Regional Australia
20242175,Inner Regional Australia
20243207,Inner Regional Australia
20242029,Major Cities of Australia
20241246,Inner Regional Australia
20241078,Major Cities of Australia
20243064,Outer Regional Australia
20241013,Remote Australia
20246019,Outer Regional Australia
20242257,Major Cities of Australia
20241138,Major Cities of Australia
20244014,Major Cities of Australia
20244069,Inner Regional Australia
20242053,Inner Regional Australia
20243111,Outer Regional Australia
20243067,Outer Regional Australia
20242186,Major Cities of Australia
20242250,Major Cities of Australia
20243167,Outer Regional Australia
20243106,Major Cities of Australia
20242098,Major Cities of Australia
20241179,Inner Regional Australia
20242070,Inner Regional Australia
20243261,Very Remote Australia
20243227,Outer Regional Australia
20242243,Inner Regional Australia
20242102,Major Cities of Australia
20241109,Very Remote Australia
20243187,Inner Regional Australia
20241301,Major Cities of Australia
20243135,Outer Regional Australia
20241248,Major Cities of Australia
20243268,Very Remote Australia
20242071,Major Cities of Australia
20241020,Outer Regional Australia
20241294,Inner Regional Australia
20241304,Inner Regional Australia
20242123,Inner Regional Australia
20242144,Inner Regional Australia
