crash_id,sa4_name
20241115,Riverina
20241125,Sydney - Baulkham Hills and Hawkesbury
20246013,Launceston and North East
20241002,New England and North West
20243185,Toowoomba
20244016,Barossa - Yorke - Mid North
20243168,Darling Downs - Maranoa
20246003,Hobart
20246001,Launceston and North East
20244081,South Australia - South East
20241087,Sydney - Outer West and Blue Mountains
20241054,Capital Region
20244042,South Australia - South East
20243246,Cairns
20241101,Illawarra
20241216,Sydney - Outer West and Blue Mountains
20241300,Hunter Valley exc Newcastle
20243007,Wide Bay
20241278,Central West
20241149,Sydney - Inner South West
20241068,Murray
20243273,Darling Downs - Maranoa
20244020,Barossa - Yorke - Mid North
20244055,South Australia - South East
20241094,Mid North Coast
20243160,Mackay - Isaac - Whitsunday
20243209,Cairns
20244001,South Australia - South East
20243243,Logan - Beaudesert
20246016,Launceston and North East
20241119,New England and North West
20241169,Mid North Coast
20241291,Far West and Orana
20243036,Wide Bay
20244026,South Australia - Outback
20241077,Illawarra
20241028,Illawarra
20241022,New England and North West
20243015,Logan - Beaudesert
20244023,Barossa - Yorke - Mid North
20241098,Mid North Coast
20243114,Queensland - Outback
20241040,New England and North West
20241174,Central Coast
20241088,New England and North West
20241255,Capital Region
20241053,Central West
20243046,Toowoomba
20241080,Newcastle and Lake Macquarie
20243044,Central Queensland
20241274,Sydney - Blacktown
20243176,Cairns
20241181,Murray
20243110,Queensland - Outback
20244044,Barossa - Yorke - Mid North
20243147,Cairns
20244019,South Australia - Outback
20241194,Sydney - South West
20241139,Sydney - Parramatta
20241197,Hunter Valley exc Newcastle
20243220,Cairns
20243267,Moreton Bay - North
20241057,Richmond - Tweed
20243174,Logan - Beaudesert
20241166,Richmond - Tweed
20243213,Wide Bay
20241096,New England and North West
20242089,Melbourne - Inner
20243073,Brisbane - South
20241027,Riverina
20241163,New England and North West
20243143,Mackay - Isaac - Whitsunday
20241222,Sydney - South West
20241218,Capital Region
20243249,Central Queensland
20243098,Wide Bay
20241306,Sydney - Baulkham Hills and Hawkesbury
20243037,Cairns
20244083,Adelaide - North
20241196,Hunter Valley exc Newcastle
20244028,South Australia - South East
20243038,Darling Downs - Maranoa
20242023,Melbourne - North West
20242230,Warrnambool and South West
20242127,Melbourne - South East
20242120,Latrobe - Gippsland
20241106,Richmond - Tweed
20241230,Sydney - Baulkham Hills and Hawkesbury
20241055,Central Coast
20241267,Hunter Valley exc Newcastle
20242260,Melbourne - North East
20242057,Melbourne - North West
20243153,Queensland - Outback
20242161,Melbourne - North East
20241236,Mid North Coast
20243172,Central Queensland
20241188,Mid North Coast
20243191,Ipswich
20241256,Hunter Valley exc Newcastle
20242019,Warrnambool and South West
20243008,Wide Bay
20243001,Cairns
20243041,Darling Downs - Maranoa
20244021,Adelaide - West
20243113,Brisbane - South
20241107,Central West
20243022,Gold Coast
20248002,Australian Capital Territory
20242088,Mornington Peninsula
20241173,New England and North West
20241004,Sydney - Parramatta
20246004,Launceston and North East
20241201,Capital Region
20241029,Capital Region
20243005,Wide Bay
20241261,Illawarra
20244024,Barossa - Yorke - Mid North
20241215,Murray
20243186,Toowoomba
20243208,Brisbane Inner City
20241134,Sydney - Blacktown
20243040,Darling Downs - Maranoa
20241263,Central West
20241302,Capital Region
20241147,Sydney - Baulkham Hills and Hawkesbury
20243248,Moreton Bay - South
20243096,Wide Bay
20241150,Sydney - North Sydney and Hornsby
20241247,Capital Region
20241234,Capital Region
20242110,Bendigo
20242052,Melbourne - North East
20243247,Darling Downs - Maranoa
20243144,Central Queensland
20241235,Illawarra
20243087,Wide Bay
20244061,South Australia - South East
20241009,Richmond - Tweed
20241072,Mid North Coast
20243129,Ipswich
20242219,North West
20241219,Sydney - Baulkham Hills and Hawkesbury
20244010,Barossa - Yorke - Mid North
20244040,Adelaide - North
20243171,Cairns
20242075,Warrnambool and South West
20243079,Queensland - Outback
20241045,Hunter Valley exc Newcastle
20243017,Central Queensland
20241160,Riverina
