crash_id,speed_limit
20241115,100
20241125,80
20246013,50
20241002,100
20243185,100
20244016,100
20243168,60
20246003,50
20246001,100
20244081,50
20241087,70
20241054,110
20244042,100
20243246,80
20241101,60
20241216,60
20241300,100
20243007,100
20241278,100
20241149,40
20241068,110
20243273,100
20244020,100
20244055,110
20241094,50
20243160,100
20243209,50
20244001,100
20243243,70
20246016,100
20241119,100
20241169,80
20241291,110
20243036,100
20244026,50
20241077,50
20241028,50
20241022,100
20243015,60
20244023,100
20241098,90
20243114,100
20241040,100
20241174,60
20241088,100
20241255,100
20241053,100
20243046,60
20241080,60
20243044,100
20241274,100
20243176,60
20241181,110
20243110,60
20244044,100
20243147,80
20244019,100
20241194,80
20241139,50
20241197,100
20243220,100
20243267,90
20241057,110
20243174,80
20241166,100
20243213,100
20241096,100
20242089,60
20243073,70
20241027,100
20241163,100
20243143,100
20241222,100
20241218,110
20243249,100
20243098,80
20241306,60
20243037,50
20244083,60
20241196,60
20244028,100
20243038,100
20242023,70
20242230,100
20242127,80
20242120,100
20241106,60
20241230,70
20241055,50
20241267,50
20242260,80
20242057,100
20243153,100
20242161,60
20241236,80
20243172,10
20241188,100
20243191,100
20241256,100
20242019,100
20243008,80
20243001,80
20243041,100
20244021,60
20243113,60
20241107,100
20243022,60
20248002,80
20242088,80
20241173,110
20241004,50
20246004,110
20241201,50
20241029,80
20243005,60
20241261,90
20244024,80
20241215,100
20243186,80
20243208,40
20241134,80
20243040,60
20241263,50
20241302,110
20241147,50
20243248,70
20243096,50
20241150,50
20241247,100
20241234,100
20242110,80
20242052,70
20243247,100
20243144,100
20241235,80
20243087,100
20244061,110
20241009,80
20241072,60
20243129,100
20242219,100
20241219,80
20244010,100
20244040,50
20243171,100
20242075,80
20243079,100
20241045,50
20243017,100
20241160,50
20241081,100
20241135,100
20241209,110
20242140,100
20242142,100
20243107,80
20243020,60
20241151,100
20243158,100
20241286,80
20243102,80
20241303,100
20246029,50
20248005,80
20244018,110
20241060,80
20242022,60
20241037,70
20241257,50
20241128,100
20243089,60
20242181,100
20243082,100
20243150,100
20243170,60
20243239,100
20242040,100
20243084,80
20241030,80
20243127,80
20243003,100
20243266,60
20241042,80
20243121,100
20241175,50
20243072,80
20244057,90
20241091,110
20243201,100
20242135,100
20243225,80
20241167,50
20244060,100
20241268,100
20244013,60
20243235,90
20244059,110
20241266,80
20243131,60
20242080,100
20241287,100
20241152,100
20243161,100
20242042,80
20243210,60
20244025,110
20243088,50
20241211,70
20242007,100
20241204,80
20244062,80
20241137,110
20243117,60
20242081,60
20243206,60
20248003,70
20244032,110
20241153,60
20242138,100
20243198,100
20242107,40
20243080,100
20242204,80
20242139,50
20241103,80
20242129,100
20244027,80
20243006,50
20243108,100
20243212,70
20241237,50
20241052,100
20241308,50
20246027,50
20244072,50
20241195,80
20244043,50
20241102,60
20243194,60
20243070,100
20243165,80
20241063,70
20241132,60
20241292,60
20241189,100
20241233,110
20242115,100
20242167,60
20241016,100
20243234,60
20246025,80
20241220,80
20241034,50
20242012,50
20243009,60
20241269,50
20242093,50
20242176,100
20242255,100
20241066,90
20242175,100
20243207,60
20242029,60
20241246,80
20241078,70
20243064,100
20241013,100
20246019,80
20242257,50
20241138,50
20244014,40
20244069,60
20242053,100
20243111,100
20243067,100
20242186,80
20242250,60
20243167,70
20243106,70
20242098,60
20241179,80
20242070,80
20243261,100
20243227,100
20242243,50
20242102,60
20241109,100
20243187,60
20241301,80
20243135,100
20241248,60
20243268,100
20242071,60
20241020,100
20241294,60
20241304,80
20242123,60
20242144,60
20241199,80
20243066,50
20243233,100
20243203,100
20242209,100
20242056,70
20242130,100
20243109,100
20243010,100
20243181,100
20246018,80
20241071,60
20241186,70
20243078,70
20241223,50
20241221,60
20241143,100
20243242,100
20242189,50
20242170,60
20243043,80
20241140,100
20244063,110
20241131,100
20242172,60
20241111,80
20242055,60
20241017,50
20244067,40
20246024,100
20241254,80
20243011,80
20246011,80
20242177,80
20241127,50
20241210,100
20242132,100
20242184,80
20241253,100
20243024,80
20242224,60
20243031,50
20242069,60
20243156,60
20242251,60
20244034,80
20242090,100
20243231,100
20242194,100
20243142,100
20242043,50
20243124,100
20244007,80
20242060,60
20243104,60
20244041,110
20246026,70
20243021,100
20242155,100
20242032,40
20241285,70
20244066,110
20242064,60
20242164,60
20244035,100
20243018,80
20242086,80
20243217,60
20243251,100
20243058,100
20244046,100
20243085,60
20244039,100
20243240,100
20246002,100
20242099,100
20243063,60
20241176,80
20247022,130
20241086,70
20241224,80
20241265,100
20241202,50
20246023,60
20241293,110
20241299,100
20244078,50
20243164,60
20242201,100
20241307,100
20242074,100
20241243,110
20247034,60
20241260,70
20243004,80
20246014,80
20242024,60
20243169,70
20243081,100
20242169,100
20241110,50
20241082,60
20241159,100
20246022,50
20241229,80
20242026,60
20242268,80
20242238,50
20242122,60
20241046,100
20243192,100
20241032,80
20241031,80
20243254,60
20243133,100
20241203,100
20243118,60
20243173,80
20243199,40
20244003,60
20241298,50
20242112,100
20243092,100
20243042,60
20244005,100
20243178,60
20244050,50
20241208,100
20242259,100
20242212,50
20243019,60
20241036,90
20242226,50
20247007,110
20243074,60
20241003,100
20241277,100
20241249,50
20242020,60
20242108,60
20243120,60
20242187,100
20243116,100
20242133,60
20241092,60
20242121,60
20243214,100
20241118,100
20243157,70
20241190,80
20241097,100
20242265,100
20241250,70
20242200,100
20242234,100
20242048,70
20242003,80
20243252,80
20243061,100
20242162,80
20244071,80
20241047,50
20241205,60
20241024,60
20242096,80
20242240,60
20243139,40
20243075,70
20244051,60
20241070,100
20244079,50
20243051,100
20242237,80
20243148,100
20242157,60
20244022,80
20241142,80
20241124,100
20241010,110
20241252,80
20243155,60
20243163,100
20243269,80
20243056,60
20243049,40
20243103,10
20242233,50
20243014,100
20241198,70
20242249,70
20243154,100
20241100,50
20241074,80
20243263,100
20242016,70
20244017,90
20244009,50
20242085,60
20244012,110
20243205,80
20241035,50
20241161,60
20241062,80
20243119,70
20241155,60
20243152,80
20243053,60
20241039,80
20242154,110
20243215,80
20243026,60
20241050,80
20243271,100
20241133,100
20248008,60
20244037,50
20242143,40
20241273,50
20242067,100
20242214,80
20243238,100
20242011,60
20241180,50
20241059,50
20241021,60
20242254,80
20243256,50
20241245,80
20243126,80
20244082,100
20241108,60
20242137,70
20241005,60
20241051,100
20243128,80
20242109,60
20241116,70
20243226,100
20242092,80
20242125,60
20244077,50
20242049,40
20243265,50
20243122,60
20243151,10
20241283,100
20242262,60
20242100,100
20242211,60
20241168,70
20241162,100
20241073,100
20243097,80
20242182,100
20243123,60
20242044,100
20241120,110
20242266,80
20241048,70
20243023,70
20243137,100
20241200,60
20242151,70
20242223,100
20241259,110
20241264,50
20243086,80
20242215,40
20246012,60
20244068,100
20241296,60
20241006,70
20241258,50
20241290,110
20241056,110
20242014,80
20241251,80
20243076,100
20243162,100
20242027,70
20243029,80
20242179,60
20244080,100
20242241,100
20244047,100
20241041,110
20241165,100
20242077,60
20242078,80
20242017,60
20243223,60
20241271,60
20242217,80
20242245,100
20241170,80
20242199,100
20241177,100
20246015,40
20242165,100
20241011,60
20243260,70
20241083,110
20246006,110
20244058,100
20243218,80
20241089,50
20243146,100
20241295,50
20243264,100
20241136,110
20241281,100
20241076,50
20244073,110
20242094,100
20241058,100
20241019,80
20241275,100
20243222,60
20241065,110
20243094,70
20243145,100
20241305,60
20242146,60
20241231,100
20241145,60
20241228,100
20243030,100
20243034,100
20242058,80
20241085,100
20243091,100
20243184,60
20242104,80
20248004,60
20242101,110
20243195,100
20243055,90
20241212,50
20241241,50
20243071,110
20241171,100
20243193,110
20244011,110
20242225,100
20242160,100
20241183,80
