crash_id,vehicle_id
20241115,20241115_No_No_No
20241125,20241125_No_No_No
20246013,20246013_No_No_No
20241002,20241002_No_No_No
20243185,20243185_No_No_No
20244016,20244016_No_No_No
20243168,20243168_No_No_No
20246003,20246003_No_No_No
20246001,20246001_No_No_No
20244081,20244081_No_No_No
20241087,20241087_No_No_No
20241054,20241054_No_No_Yes
20244042,20244042_No_No_No
20243246,20243246_No_No_No
20241101,20241101_No_No_Yes
20241216,20241216_No_No_No
20241300,20241300_No_No_No
20243007,20243007_No_No_No
20241278,20241278_No_No_No
20241149,20241149_No_No_No
20241068,20241068_Yes_No_Yes
20243273,20243273_No_No_No
20244020,20244020_No_No_No
20244055,20244055_No_No_No
20241094,20241094_No_No_No
20243160,20243160_No_No_No
20243209,20243209_No_No_No
20244001,20244001_No_No_No
20243243,20243243_No_Yes_No
20246016,20246016_No_No_No
20241119,20241119_No_No_No
20241169,20241169_No_No_No
20241291,20241291_No_No_Yes
20243036,20243036_No_No_No
20244026,20244026_No_No_No
20241077,20241077_No_No_No
20241028,20241028_No_No_No
20241022,20241022_No_No_No
20243015,20243015_No_No_No
20244023,20244023_No_No_No
20241098,20241098_No_No_No
20243114,20243114_No_No_No
20241040,20241040_No_No_No
20241174,20241174_No_No_No
20241088,20241088_No_No_No
20241255,20241255_No_No_No
20241053,20241053_No_No_No
20243046,20243046_No_No_No
20241080,20241080_No_No_No
20243044,20243044_No_No_Yes
20241274,20241274_No_No_No
20243176,20243176_No_No_No
20241181,20241181_No_No_Yes
20243110,20243110_No_No_No
20244044,20244044_No_No_No
20243147,20243147_No_No_No
20244019,20244019_No_No_No
20241194,20241194_No_Yes_Yes
20241139,20241139_Yes_No_No
20241197,20241197_No_No_Yes
20243220,20243220_No_No_No
20243267,20243267_No_No_No
20241057,20241057_No_No_No
20243174,20243174_No_No_No
20241166,20241166_No_No_No
20243213,20243213_No_No_Yes
20241096,20241096_No_No_No
20242089,20242089_No_No_No
20243073,20243073_No_No_No
20241027,20241027_No_No_No
20241163,20241163_No_No_No
20243143,20243143_No_No_No
20241222,20241222_No_No_No
20241218,20241218_No_No_No
20243249,20243249_No_No_No
20243098,20243098_No_No_No
20241306,20241306_No_No_No
20243037,20243037_No_No_No
20244083,20244083_No_No_No
20241196,20241196_No_No_No
20244028,20244028_No_No_No
20243038,20243038_No_No_No
20242023,20242023_No_No_Yes
20242230,20242230_No_No_No
20242127,20242127_No_No_No
20242120,20242120_No_No_No
20241106,20241106_No_No_No
20241230,20241230_No_No_No
20241055,20241055_No_No_No
20241267,20241267_No_No_No
20242260,20242260_No_No_No
20242057,20242057_No_No_No
20243153,20243153_No_No_Yes
20242161,20242161_No_No_No
20241236,20241236_No_No_No
20243172,20243172_No_No_No
20241188,20241188_No_No_No
20243191,20243191_No_No_No
20241256,20241256_No_No_No
20242019,20242019_No_No_No
20243008,20243008_Yes_No_No
20243001,20243001_No_No_No
20243041,20243041_No_No_No
20244021,20244021_No_No_No
20243113,20243113_No_No_No
20241107,20241107_No_No_No
20243022,20243022_No_No_No
20248002,20248002_No_No_No
20242088,20242088_No_No_No
20241173,20241173_No_No_Yes
20241004,20241004_No_No_No
20246004,20246004_No_Yes_Yes
20241201,20241201_No_No_No
20241029,20241029_No_No_No
20243005,20243005_No_No_No
20241261,20241261_No_No_No
20244024,20244024_No_No_No
20241215,20241215_No_No_No
20243186,20243186_No_No_No
20243208,20243208_No_No_No
20241134,20241134_No_No_No
20243040,20243040_No_Yes_Yes
20241263,20241263_No_No_No
20241302,20241302_No_No_No
20241147,20241147_No_No_No
20243248,20243248_No_No_No
20243096,20243096_No_No_No
20241150,20241150_Yes_No_No
20241247,20241247_No_No_Yes
20241234,20241234_No_No_No
20242110,20242110_No_No_No
20242052,20242052_No_Yes_No
20243247,20243247_No_No_No
20243144,20243144_No_No_Yes
20241235,20241235_No_No_Yes
20243087,20243087_No_No_No
20244061,20244061_No_No_No
20241009,20241009_No_No_No
20241072,20241072_No_No_No
20243129,20243129_No_No_Yes
20242219,20242219_No_Yes_No
20241219,20241219_No_No_No
20244010,20244010_No_No_No
20244040,20244040_No_No_No
20243171,20243171_No_No_No
20242075,20242075_No_No_No
20243079,20243079_No_No_No
20241045,20241045_No_No_No
20243017,20243017_No_No_Yes
20241160,20241160_No_Yes_No
20241081,20241081_No_No_Yes
20241135,20241135_No_No_No
20241209,20241209_No_No_Yes
20242140,20242140_No_Yes_No
20242142,20242142_No_No_No
20243107,20243107_No_No_No
20243020,20243020_No_No_No
20241151,20241151_No_No_No
20243158,20243158_No_No_Yes
20241286,20241286_No_No_No
20243102,20243102_No_No_No
20241303,20241303_No_No_No
20246029,20246029_No_No_No
20248005,20248005_No_No_No
20244018,20244018_No_No_No
20241060,20241060_No_No_No
20242022,20242022_No_Yes_No
20241037,20241037_No_No_No
20241257,20241257_No_No_No
20241128,20241128_No_No_No
20243089,20243089_No_No_No
20242181,20242181_No_No_No
20243082,20243082_No_No_Yes
20243150,20243150_No_No_No
20243170,20243170_No_No_No
20243239,20243239_No_No_No
20242040,20242040_No_No_Yes
20243084,20243084_No_No_No
20241030,20241030_No_No_No
20243127,20243127_No_Yes_No
20243003,20243003_No_No_No
20243266,20243266_No_No_No
20241042,20241042_No_No_No
20243121,20243121_No_No_No
20241175,20241175_No_No_No
20243072,20243072_No_No_No
20244057,20244057_No_No_No
20241091,20241091_No_No_No
20243201,20243201_No_No_No
20242135,20242135_No_No_No
20243225,20243225_No_No_No
20241167,20241167_No_No_No
20244060,20244060_No_No_No
20241268,20241268_No_No_No
20244013,20244013_No_No_No
20243235,20243235_No_No_No
20244059,20244059_No_No_No
20241266,20241266_No_No_No
20243131,20243131_No_No_No
20242080,20242080_No_No_No
20241287,20241287_No_No_No
20241152,20241152_No_No_No
20243161,20243161_No_No_No
20242042,20242042_No_No_No
20243210,20243210_No_No_No
20244025,20244025_No_No_No
20243088,20243088_No_No_No
20241211,20241211_Yes_No_No
20242007,20242007_No_No_No
20241204,20241204_No_No_No
20244062,20244062_No_No_No
20241137,20241137_No_No_No
20243117,20243117_No_No_No
20242081,20242081_No_No_No
20243206,20243206_No_No_No
20248003,20248003_No_No_No
20244032,20244032_No_No_No
20241153,20241153_No_No_No
20242138,20242138_No_No_No
20243198,20243198_No_No_No
20242107,20242107_No_No_No
20243080,20243080_No_No_No
20242204,20242204_No_No_No
20242139,20242139_No_No_No
20241103,20241103_No_No_No
20242129,20242129_No_No_No
20244027,20244027_No_No_No
20243006,20243006_No_No_No
20243108,20243108_No_No_No
20243212,20243212_No_No_No
20241237,20241237_No_No_No
20241052,20241052_No_No_No
20241308,20241308_No_No_No
20246027,20246027_No_No_No
20244072,20244072_No_No_No
20241195,20241195_No_No_No
20244043,20244043_No_No_No
20241102,20241102_No_No_No
20243194,20243194_No_No_No
20243070,20243070_No_Yes_No
20243165,20243165_No_No_No
20241063,20241063_No_No_No
20241132,20241132_Yes_No_No
20241292,20241292_No_No_No
20241189,20241189_No_No_No
20241233,20241233_No_No_No
20242115,20242115_No_No_No
20242167,20242167_No_No_No
20241016,20241016_No_No_No
20243234,20243234_No_No_No
20246025,20246025_No_No_No
20241220,20241220_No_No_No
20241034,20241034_No_No_No
20242012,20242012_No_No_No
20243009,20243009_No_No_No
