crash_id,year,month,day_of_week,christmas_period,easter_period,weekday_or_weekend,date_id
20241115,2024,12,Friday,Yes,No,Weekday,2024-12-Friday
20241125,2024,12,Friday,No,No,Weekday,2024-12-Friday
20246013,2024,12,Friday,Yes,No,Weekday,2024-12-Friday
20241002,2024,12,Friday,No,No,Weekday,2024-12-Friday
20243185,2024,12,Friday,No,No,Weekday,2024-12-Friday
20244016,2024,12,Friday,Yes,No,Weekday,2024-12-Friday
20243168,2024,12,Friday,No,No,Weekend,2024-12-Friday
20246003,2024,12,Friday,No,No,Weekend,2024-12-Friday
20246001,2024,12,Friday,No,No,Weekend,2024-12-Friday
20244081,2024,12,Friday,No,No,Weekend,2024-12-Friday
20241087,2024,12,Friday,No,No,Weekend,2024-12-Friday
20241054,2024,12,Friday,No,No,Weekend,2024-12-Friday
20244042,2024,12,Monday,No,No,Weekend,2024-12-Monday
20243246,2024,12,Monday,No,No,Weekday,2024-12-Monday
20241101,2024,12,Monday,No,No,Weekday,2024-12-Monday
20241216,2024,12,Monday,Yes,No,Weekday,2024-12-Monday
20241300,2024,12,Monday,No,No,Weekday,2024-12-Monday
20243007,2024,12,Monday,Yes,No,Weekday,2024-12-Monday
20241278,2024,12,Monday,No,No,Weekday,2024-12-Monday
20241149,2024,12,Monday,No,No,Weekday,2024-12-Monday
20241068,2024,12,Saturday,No,No,Weekend,2024-12-Saturday
20243273,2024,12,Saturday,No,No,Weekend,2024-12-Saturday
20244020,2024,12,Saturday,No,No,Weekend,2024-12-Saturday
20244055,2024,12,Saturday,Yes,No,Weekend,2024-12-Saturday
20241094,2024,12,Saturday,Yes,No,Weekend,2024-12-Saturday
20243160,2024,12,Saturday,Yes,No,Weekend,2024-12-Saturday
20243209,2024,12,Saturday,Yes,No,Weekend,2024-12-Saturday
20244001,2024,12,Saturday,Yes,No,Weekend,2024-12-Saturday
20243243,2024,12,Saturday,No,No,Weekend,2024-12-Saturday
20246016,2024,12,Saturday,No,No,Weekend,2024-12-Saturday
20241119,2024,12,Saturday,No,No,Weekend,2024-12-Saturday
20241169,2024,12,Saturday,No,No,Weekend,2024-12-Saturday
20241291,2024,12,Sunday,No,No,Weekend,2024-12-Sunday
20243036,2024,12,Sunday,No,No,Weekend,2024-12-Sunday
20244026,2024,12,Sunday,No,No,Weekend,2024-12-Sunday
20241077,2024,12,Sunday,No,No,Weekend,2024-12-Sunday
20241028,2024,12,Sunday,No,No,Weekend,2024-12-Sunday
20241022,2024,12,Sunday,No,No,Weekend,2024-12-Sunday
20243015,2024,12,Sunday,No,No,Weekend,2024-12-Sunday
20244023,2024,12,Sunday,No,No,Weekend,2024-12-Sunday
20241098,2024,12,Sunday,No,No,Weekend,2024-12-Sunday
20243114,2024,12,Sunday,No,No,Weekend,2024-12-Sunday
20241040,2024,12,Sunday,No,No,Weekend,2024-12-Sunday
20241174,2024,12,Sunday,No,No,Weekend,2024-12-Sunday
20241088,2024,12,Sunday,No,No,Weekend,2024-12-Sunday
20241255,2024,12,Sunday,No,No,Weekend,2024-12-Sunday
20241053,2024,12,Sunday,No,No,Weekend,2024-12-Sunday
20243046,2024,12,Sunday,No,No,Weekend,2024-12-Sunday
20241080,2024,12,Thursday,No,No,Weekday,2024-12-Thursday
20243044,2024,12,Thursday,No,No,Weekday,2024-12-Thursday
20241274,2024,12,Thursday,No,No,Weekday,2024-12-Thursday
20243176,2024,12,Tuesday,Yes,No,Weekday,2024-12-Tuesday
20241181,2024,12,Tuesday,Yes,No,Weekday,2024-12-Tuesday
20243110,2024,12,Tuesday,Yes,No,Weekday,2024-12-Tuesday
20244044,2024,12,Tuesday,No,No,Weekday,2024-12-Tuesday
20243147,2024,12,Tuesday,No,No,Weekday,2024-12-Tuesday
20244019,2024,12,Tuesday,Yes,No,Weekday,2024-12-Tuesday
20241194,2024,12,Tuesday,No,No,Weekday,2024-12-Tuesday
20241139,2024,12,Tuesday,No,No,Weekday,2024-12-Tuesday
20241197,2024,12,Tuesday,No,No,Weekday,2024-12-Tuesday
20243220,2024,12,Wednesday,Yes,No,Weekday,2024-12-Wednesday
20243267,2024,12,Wednesday,No,No,Weekday,2024-12-Wednesday
20241057,2024,12,Wednesday,No,No,Weekday,2024-12-Wednesday
20243174,2024,12,Wednesday,Yes,No,Weekday,2024-12-Wednesday
20241166,2024,12,Wednesday,Yes,No,Weekday,2024-12-Wednesday
20243213,2024,11,Friday,No,No,Weekday,2024-11-Friday
20241096,2024,11,Friday,No,No,Weekday,2024-11-Friday
20242089,2024,11,Friday,No,No,Weekday,2024-11-Friday
20243073,2024,11,Friday,No,No,Weekday,2024-11-Friday
20241027,2024,11,Friday,No,No,Weekday,2024-11-Friday
20241163,2024,11,Friday,No,No,Weekday,2024-11-Friday
20243143,2024,11,Friday,No,No,Weekday,2024-11-Friday
20241222,2024,11,Friday,No,No,Weekday,2024-11-Friday
20241218,2024,11,Friday,No,No,Weekday,2024-11-Friday
20243249,2024,11,Friday,No,No,Weekend,2024-11-Friday
20243098,2024,11,Friday,No,No,Weekend,2024-11-Friday
20241306,2024,11,Friday,No,No,Weekend,2024-11-Friday
20243037,2024,11,Monday,No,No,Weekday,2024-11-Monday
20244083,2024,11,Monday,No,No,Weekday,2024-11-Monday
20241196,2024,11,Monday,No,No,Weekday,2024-11-Monday
20244028,2024,11,Monday,No,No,Weekday,2024-11-Monday
20243038,2024,11,Monday,No,No,Weekday,2024-11-Monday
20242023,2024,11,Monday,No,No,Weekday,2024-11-Monday
20242230,2024,11,Monday,No,No,Weekday,2024-11-Monday
20242127,2024,11,Monday,No,No,Weekday,2024-11-Monday
20242120,2024,11,Monday,No,No,Weekday,2024-11-Monday
20241106,2024,11,Monday,No,No,Weekday,2024-11-Monday
20241230,2024,11,Monday,No,No,Weekday,2024-11-Monday
20241055,2024,11,Monday,No,No,Weekday,2024-11-Monday
20241267,2024,11,Monday,No,No,Weekday,2024-11-Monday
20242260,2024,11,Monday,No,No,Weekday,2024-11-Monday
20242057,2024,11,Saturday,No,No,Weekend,2024-11-Saturday
20243153,2024,11,Saturday,No,No,Weekend,2024-11-Saturday
20242161,2024,11,Saturday,No,No,Weekend,2024-11-Saturday
20241236,2024,11,Saturday,No,No,Weekend,2024-11-Saturday
20243172,2024,11,Saturday,No,No,Weekend,2024-11-Saturday
20241188,2024,11,Saturday,No,No,Weekend,2024-11-Saturday
