time_id,period
1,Christmas Period
3,Christmas Period
6,Christmas Period
16,Christmas Period
18,Christmas Period
24,Christmas Period
25,Christmas Period
26,Christmas Period
27,Christmas Period
28,Christmas Period
29,Christmas Period
30,Christmas Period
58,Christmas Period
59,Christmas Period
60,Christmas Period
63,Christmas Period
67,Christmas Period
70,Christmas Period
71,Christmas Period
660,Easter Period
665,Easter Period
666,Easter Period
667,Easter Period
669,Easter Period
752,Easter Period
753,Easter Period
754,Easter Period
769,Easter Period
783,Easter Period
784,Easter Period
786,Easter Period
788,Easter Period
793,Easter Period
794,Easter Period
796,Easter Period
799,Easter Period
803,Easter Period
807,Easter Period
920,Christmas Period
922,Christmas Period
929,Christmas Period
965,Christmas Period
974,Christmas Period
975,Christmas Period
978,Christmas Period
983,Christmas Period
989,Christmas Period
990,Christmas Period
991,Christmas Period
1000,Christmas Period
1011,Christmas Period
1023,Christmas Period
1027,Christmas Period
1035,Christmas Period
1036,Christmas Period
1039,Christmas Period
1040,Christmas Period
1043,Christmas Period
1044,Christmas Period
1045,Christmas Period
1049,Christmas Period
1052,Christmas Period
1060,Christmas Period
1063,Christmas Period
1067,Christmas Period
1073,Christmas Period
1076,Christmas Period
1651,Easter Period
1652,Easter Period
1653,Easter Period
1654,Easter Period
1655,Easter Period
1656,Easter Period
1660,Easter Period
1664,Easter Period
1668,Easter Period
1674,Easter Period
1683,Easter Period
1686,Easter Period
1687,Easter Period
1693,Easter Period
1705,Easter Period
1707,Easter Period
1908,Christmas Period
1931,Christmas Period
1955,Christmas Period
1976,Christmas Period
1978,Christmas Period
1980,Christmas Period
1982,Christmas Period
1983,Christmas Period
1984,Christmas Period
1987,Christmas Period
1988,Christmas Period
1993,Christmas Period
1997,Christmas Period
1998,Christmas Period
1999,Christmas Period
2000,Christmas Period
2001,Christmas Period
2018,Christmas Period
2024,Christmas Period
2025,Christmas Period
2026,Christmas Period
2027,Christmas Period
2028,Christmas Period
2038,Christmas Period
2039,Christmas Period
2598,Easter Period
2600,Easter Period
2601,Easter Period
2606,Easter Period
2609,Easter Period
2610,Easter Period
2612,Easter Period
2614,Easter Period
2615,Easter Period
2618,Easter Period
2620,Easter Period
2630,Easter Period
2640,Easter Period
2649,Easter Period
2650,Easter Period
2655,Easter Period
2660,Easter Period
2664,Easter Period
2877,Christmas Period
2882,Christmas Period
2883,Christmas Period
2887,Christmas Period
2888,Christmas Period
2896,Christmas Period
2901,Christmas Period
2942,Christmas Period
2948,Christmas Period
2953,Christmas Period
2958,Christmas Period
2963,Christmas Period
2964,Christmas Period
2970,Christmas Period
2973,Christmas Period
2976,Christmas Period
2978,Christmas Period
2979,Christmas Period
2980,Christmas Period
2982,Christmas Period
2983,Christmas Period
2990,Christmas Period
2992,Christmas Period
2993,Christmas Period
2994,Christmas Period
2999,Christmas Period
3002,Christmas Period
3003,Christmas Period
3004,Christmas Period
3005,Christmas Period
3011,Christmas Period
3025,Christmas Period
3027,Christmas Period
3663,Easter Period
3669,Easter Period
3673,Easter Period
3674,Easter Period
3677,Easter Period
3679,Easter Period
3680,Easter Period
3682,Easter Period
3683,Easter Period
3684,Easter Period
3685,Easter Period
3687,Easter Period
3689,Easter Period
3692,Easter Period
3693,Easter Period
3696,Easter Period
3706,Easter Period
3713,Easter Period
3715,Easter Period
3716,Easter Period
3720,Easter Period
3721,Easter Period
3722,Easter Period
3729,Easter Period
3935,Christmas Period
3938,Christmas Period
3945,Christmas Period
3987,Christmas Period
3989,Christmas Period
3990,Christmas Period
4030,Christmas Period
4031,Christmas Period
4040,Christmas Period
4043,Christmas Period
4046,Christmas Period
4047,Christmas Period
4048,Christmas Period
4051,Christmas Period
4070,Christmas Period
4076,Christmas Period
4079,Christmas Period
4080,Christmas Period
4081,Christmas Period
4083,Christmas Period
4086,Christmas Period
4087,Christmas Period
4090,Christmas Period
4091,Christmas Period
4092,Christmas Period
4099,Christmas Period
4103,Christmas Period
4111,Christmas Period
4112,Christmas Period
4117,Christmas Period
4753,Easter Period
4754,Easter Period
4758,Easter Period
4764,Easter Period
4778,Easter Period
4781,Easter Period
4784,Easter Period
5017,Christmas Period
5021,Christmas Period
5025,Christmas Period
5026,Christmas Period
5028,Christmas Period
5065,Christmas Period
5066,Christmas Period
5087,Christmas Period
5093,Christmas Period
5095,Christmas Period
5097,Christmas Period
5102,Christmas Period
5121,Christmas Period
5122,Christmas Period
5124,Christmas Period
5134,Christmas Period
5136,Christmas Period
5140,Christmas Period
5146,Christmas Period
5147,Christmas Period
5157,Christmas Period
5174,Christmas Period
5178,Christmas Period
5183,Christmas Period
5186,Christmas Period
5189,Christmas Period
5190,Christmas Period
5192,Christmas Period
5198,Christmas Period
5199,Christmas Period
5200,Christmas Period
5201,Christmas Period
5843,Easter Period
5844,Easter Period
5846,Easter Period
5847,Easter Period
5848,Easter Period
5850,Easter Period
5853,Easter Period
5855,Easter Period
5862,Easter Period
5864,Easter Period
5877,Easter Period
5880,Easter Period
5882,Easter Period
5886,Easter Period
5890,Easter Period
5903,Easter Period
5905,Easter Period
5906,Easter Period
5913,Easter Period
6213,Christmas Period
6214,Christmas Period
6224,Christmas Period
6225,Christmas Period
6228,Christmas Period
6246,Christmas Period
6254,Christmas Period
6256,Christmas Period
6263,Christmas Period
6269,Christmas Period
6271,Christmas Period
6274,Christmas Period
6276,Christmas Period
6278,Christmas Period
6279,Christmas Period
6280,Christmas Period
6281,Christmas Period
6282,Christmas Period
6284,Christmas Period
6289,Christmas Period
6290,Christmas Period
6292,Christmas Period
6302,Christmas Period
6305,Christmas Period
6306,Christmas Period
6312,Christmas Period
6313,Christmas Period
6316,Christmas Period
6317,Christmas Period
6318,Christmas Period
6320,Christmas Period
6321,Christmas Period
6323,Christmas Period
6324,Christmas Period
6329,Christmas Period
6338,Christmas Period
6339,Christmas Period
6342,Christmas Period
6343,Christmas Period
6347,Christmas Period
6989,Easter Period
6996,Easter Period
7017,Easter Period
7019,Easter Period
7022,Easter Period
7030,Easter Period
7061,Easter Period
7083,Easter Period
7109,Easter Period
7112,Easter Period
7115,Easter Period
7121,Easter Period
7133,Easter Period
7137,Easter Period
7263,Christmas Period
7264,Christmas Period
7265,Christmas Period
7266,Christmas Period
7267,Christmas Period
7268,Christmas Period
7269,Christmas Period
7274,Christmas Period
7323,Christmas Period
7332,Christmas Period
7333,Christmas Period
7335,Christmas Period
