from,timeinfo_id
1,0
2,1
3,1
4,1
5,1
6,1
7,2
8,2
9,2
10,2
11,2
12,2
13,2
14,1
15,1
16,1
17,1
18,1
19,1
20,1
21,2
22,2
23,4
24,4
25,4
26,4
27,4
28,4
29,4
30,4
31,4
32,4
33,4
34,4
35,2
36,2
37,2
38,4
39,4
40,4
41,4
42,4
43,4
44,4
45,4
46,4
47,4
48,4
49,4
50,2
51,2
52,2
53,2
54,2
55,0
56,1
57,1
58,0
59,1
60,1
61,1
62,1
63,0
64,0
65,0
66,0
67,0
68,0
69,1
70,1
71,1
72,0
73,0
74,1
75,1
76,1
77,1
78,1
79,1
80,1
81,2
82,2
83,2
84,1
85,1
86,1
87,1
88,1
89,1
90,1
91,1
92,1
93,1
94,1
95,1
96,1
97,0
98,0
99,2
100,4
101,4
102,4
103,4
104,4
105,4
106,4
107,4
108,4
109,2
110,2
111,2
112,2
113,2
114,2
115,2
116,2
117,2
118,2
119,2
120,2
121,4
122,4
123,4
124,4
125,4
126,4
127,4
128,4
129,4
130,2
131,0
132,0
133,0
134,0
135,0
136,0
137,1
138,1
139,1
140,1
141,1
142,1
143,0
144,0
145,1
146,1
147,1
148,1
149,1
150,1
151,1
152,1
153,1
154,1
155,1
156,1
157,1
158,1
159,1
160,0
161,0
162,0
163,1
164,0
165,0
166,0
167,1
168,1
169,1
170,1
171,1
172,1
173,1
174,1
175,1
176,1
177,1
178,1
179,2
180,2
181,2
182,2
183,2
184,2
185,2
186,2
187,1
188,1
189,1
190,0
191,0
192,2
193,2
194,2
195,4
196,4
197,4
198,4
199,4
200,2
201,2
202,2
203,4
204,4
205,4
206,4
207,4
208,4
209,4
210,4
211,4
212,4
213,4
214,4
215,4
216,4
217,4
218,0
219,0
220,1
221,1
222,1
223,1
224,1
225,1
226,1
227,1
228,1
229,1
230,1
231,1
232,1
233,0
234,0
235,0
236,0
237,0
238,1
239,1
240,0
241,0
242,0
243,1
244,1
245,1
246,1
247,1
248,0
249,0
250,0
251,0
252,0
253,1
254,1
255,1
256,1
257,1
258,1
259,2
260,2
261,2
262,2
263,2
264,2
265,2
266,2
267,2
268,1
269,1
270,1
271,1
272,1
273,1
274,1
275,1
276,2
277,2
278,4
279,4
280,4
281,4
282,4
283,4
284,2
285,2
286,2
287,2
288,2
289,2
290,2
291,2
292,4
293,4
294,4
295,4
296,4
297,4
298,2
299,2
300,2
301,0
302,0
303,0
304,1
305,1
306,1
307,1
308,1
309,1
310,0
311,0
312,1
313,1
314,1
315,1
316,1
317,1
318,1
319,1
320,0
321,0
322,0
323,0
324,0
325,0
326,0
327,1
328,1
329,1
330,1
331,1
332,1
333,1
334,1
335,1
336,1
337,2
338,2
339,2
340,2
341,2
342,2
343,2
344,1
345,1
346,1
347,1
348,1
349,1
350,1
351,1
352,0
353,2
354,2
355,2
356,4
357,4
358,4
359,4
360,4
361,2
362,2
363,2
364,2
365,2
366,2
367,2
368,2
369,2
370,4
371,4
372,4
373,4
374,4
375,4
376,4
377,1
378,1
379,1
380,1
381,1
382,1
383,0
384,0
385,0
386,1
387,1
388,1
389,0
390,0
391,0
392,0
393,1
394,1
395,1
396,0
397,0
398,0
399,1
400,1
401,1
402,1
403,1
404,1
405,1
406,1
407,1
408,1
409,1
410,2
411,1
412,1
413,1
414,1
415,1
416,1
417,1
418,1
