from,to
1,Wagga Wagga
2,Hawkesbury
3,Northern Midlands
4,Armidale
5,Lockyer Valley
6,Wakefield
7,Southern Downs
8,Brighton
9,West Tamar
10,Mid Murray
11,Blue Mountains
12,Upper Lachlan
13,Wattle Range
14,Cairns
15,Wollongong
16,Penrith
17,Upper Hunter
18,South Burnett
19,Mid-Western
20,Canterbury-Bankstown
21,Greater Hume
22,Southern Downs
23,Barossa
24,Wattle Range
25,Wattle Range
26,Port Macquarie-Hastings
27,Mackay
28,Mackay
29,Douglas
30,Yankalilla
31,Logan
32,Dorset
33,Armidale
34,Armidale
35,Nambucca Valley
36,Narromine
37,Fraser Coast
38,Unincorporated SA
39,Shellharbour
40,Wollongong
41,Narrabri
42,Logan
43,Barossa
44,Nambucca Valley
45,Cook
46,Cook
47,Tenterfield
48,Central Coast (NSW)
49,Tamworth
50,Hilltops
51,Forbes
52,Forbes
53,Toowoomba
54,Toowoomba
55,Lake Macquarie
56,Livingstone
57,Blacktown
58,Cairns
59,Balranald
60,Lockhart River
61,Light
62,Cassowary Coast
63,Tumby Bay
64,Liverpool
65,Cumberland
66,Muswellbrook
67,Cassowary Coast
68,Moreton Bay
69,Ballina
70,Logan
71,Kyogle
72,Bundaberg
73,Tenterfield
74,Melbourne
75,Brisbane
76,Snowy Valleys
77,Tamworth
78,Whitsunday
79,Fairfield
80,Yass Valley
81,Central Highlands (Qld)
82,Bundaberg
83,The Hills
84,Cairns
85,Salisbury
86,Port Stephens
87,Yankalilla
88,Yankalilla
89,Southern Downs
90,Macedon Ranges
91,Moyne
92,Cardinia
93,East Gippsland
94,Ballina
95,Hornsby
96,Central Coast (NSW)
97,Muswellbrook
98,Whittlesea
99,Macedon Ranges
100,Mareeba
101,Whittlesea
102,Mid-Coast
103,Rockhampton
104,Mid-Coast
105,Ipswich
106,Ipswich
107,Muswellbrook
108,Muswellbrook
109,Glenelg
110,Bundaberg
111,Douglas
112,Western Downs
113,Port Adelaide Enfield
114,Brisbane
115,Cabonne
116,Gold Coast
117,Unincorporated ACT
118,Frankston
119,Moree Plains
120,Moree Plains
121,Parramatta
122,Meander Valley
123,Queanbeyan-Palerang
124,Snowy Monaro
125,Bundaberg
126,Wollongong
127,Barossa
128,Federation
129,Toowoomba
130,Brisbane
131,Blacktown
132,Southern Downs
133,Southern Downs
134,Cowra
135,Goulburn Mulwaree
136,The Hills
137,Moreton Bay
138,Gympie
139,Willoughby
140,Shoalhaven
141,Queanbeyan-Palerang
142,Greater Bendigo
143,Nillumbik
144,Western Downs
145,Rockhampton
146,Wollongong
147,South Burnett
148,South Burnett
149,Tatiara
150,Tweed
151,Mid-Coast
152,Ipswich
153,Ararat
154,Hawkesbury
