state,remoteness,sa4_name,lga_name,road_type,speed_limit,location_id
NSW,Inner Regional Australia,Riverina,Wagga Wagga,Arterial Road,100,0
NSW,Inner Regional Australia,Sydney - Baulkham Hills and Hawkesbury,Hawkesbury,Local Road,80,1
TAS,Inner Regional Australia,Launceston and North East,Northern Midlands,Local Road,50,2
NSW,Outer Regional Australia,New England and North West,Armidale,National or State Highway,100,3
QLD,Inner Regional Australia,Toowoomba,Lockyer Valley,National or State Highway,100,4
SA,Outer Regional Australia,Barossa - Yorke - Mid North,Wakefield,Sub-arterial Road,100,5
QLD,Inner Regional Australia,Darling Downs - Maranoa,Southern Downs,Local Road,60,6
TAS,Inner Regional Australia,Hobart,Brighton,Local Road,50,7
TAS,Outer Regional Australia,Launceston and North East,West Tamar,National or State Highway,100,8
SA,Outer Regional Australia,South Australia - South East,Mid Murray,Local Road,50,9
NSW,Major Cities of Australia,Sydney - Outer West and Blue Mountains,Blue Mountains,National or State Highway,70,10
NSW,Inner Regional Australia,Capital Region,Upper Lachlan,National or State Highway,110,11
SA,Outer Regional Australia,South Australia - South East,Wattle Range,Local Road,100,12
QLD,Outer Regional Australia,Cairns,Cairns,Collector Road,80,13
NSW,Major Cities of Australia,Illawarra,Wollongong,National or State Highway,60,14
NSW,Major Cities of Australia,Sydney - Outer West and Blue Mountains,Penrith,Collector Road,60,15
NSW,Outer Regional Australia,Hunter Valley exc Newcastle,Upper Hunter,National or State Highway,100,16
QLD,Outer Regional Australia,Wide Bay,South Burnett,National or State Highway,100,17
NSW,Outer Regional Australia,Central West,Mid-Western,Arterial Road,100,18
NSW,Major Cities of Australia,Sydney - Inner South West,Canterbury-Bankstown,Collector Road,40,19
NSW,Outer Regional Australia,Murray,Greater Hume,National or State Highway,110,20
QLD,Outer Regional Australia,Darling Downs - Maranoa,Southern Downs,Local Road,100,21
SA,Inner Regional Australia,Barossa - Yorke - Mid North,Barossa,Sub-arterial Road,100,22
SA,Outer Regional Australia,South Australia - South East,Wattle Range,National or State Highway,110,23
NSW,Inner Regional Australia,Mid North Coast,Port Macquarie-Hastings,National or State Highway,50,24
QLD,Outer Regional Australia,Mackay - Isaac - Whitsunday,Mackay,National or State Highway,100,25
QLD,Outer Regional Australia,Cairns,Douglas,Local Road,50,26
SA,Inner Regional Australia,South Australia - South East,Yankalilla,Arterial Road,100,27
QLD,Major Cities of Australia,Logan - Beaudesert,Logan,Sub-arterial Road,70,28
TAS,Outer Regional Australia,Launceston and North East,Dorset,National or State Highway,100,29
NSW,Inner Regional Australia,New England and North West,Armidale,Local Road,100,30
NSW,Inner Regional Australia,Mid North Coast,Nambucca Valley,National or State Highway,80,31
NSW,Outer Regional Australia,Far West and Orana,Narromine,National or State Highway,110,32
QLD,Inner Regional Australia,Wide Bay,Fraser Coast,Local Road,100,33
SA,Very Remote Australia,South Australia - Outback,Unincorporated SA,Local Road,50,34
NSW,Major Cities of Australia,Illawarra,Shellharbour,Collector Road,50,35
NSW,Major Cities of Australia,Illawarra,Wollongong,Collector Road,50,36
NSW,Outer Regional Australia,New England and North West,Narrabri,Sub-arterial Road,100,37
QLD,Inner Regional Australia,Logan - Beaudesert,Logan,Local Road,60,38
