period_id,christmas_period,easter_period
1,Yes,No
2,No,No
3,Yes,No
4,No,No
5,No,No
6,Yes,No
7,No,No
8,No,No
9,No,No
10,No,No
11,No,No
12,No,No
13,No,No
14,No,No
15,No,No
16,Yes,No
17,No,No
18,Yes,No
19,No,No
20,No,No
21,No,No
22,No,No
23,No,No
24,Yes,No
25,Yes,No
26,Yes,No
27,Yes,No
28,Yes,No
29,Yes,No
30,Yes,No
31,No,No
32,No,No
33,No,No
34,No,No
35,No,No
36,No,No
37,No,No
38,No,No
39,No,No
40,No,No
41,No,No
42,No,No
43,No,No
44,No,No
45,No,No
46,No,No
47,No,No
48,No,No
49,No,No
50,No,No
51,No,No
52,No,No
53,No,No
54,No,No
55,No,No
56,No,No
57,No,No
58,Yes,No
59,Yes,No
60,Yes,No
61,No,No
62,No,No
63,Yes,No
64,No,No
65,No,No
66,No,No
67,Yes,No
68,No,No
69,No,No
70,Yes,No
71,Yes,No
72,No,No
73,No,No
74,No,No
75,No,No
76,No,No
77,No,No
78,No,No
79,No,No
80,No,No
81,No,No
82,No,No
83,No,No
84,No,No
85,No,No
86,No,No
87,No,No
88,No,No
89,No,No
90,No,No
91,No,No
92,No,No
93,No,No
94,No,No
95,No,No
96,No,No
97,No,No
98,No,No
99,No,No
100,No,No
101,No,No
102,No,No
103,No,No
104,No,No
105,No,No
106,No,No
107,No,No
108,No,No
109,No,No
110,No,No
111,No,No
112,No,No
113,No,No
114,No,No
115,No,No
116,No,No
117,No,No
118,No,No
119,No,No
120,No,No
121,No,No
122,No,No
123,No,No
124,No,No
125,No,No
126,No,No
127,No,No
128,No,No
129,No,No
130,No,No
131,No,No
132,No,No
133,No,No
134,No,No
135,No,No
136,No,No
137,No,No
138,No,No
139,No,No
140,No,No
141,No,No
142,No,No
143,No,No
144,No,No
145,No,No
146,No,No
147,No,No
148,No,No
149,No,No
150,No,No
151,No,No
152,No,No
153,No,No
154,No,No
155,No,No
156,No,No
157,No,No
158,No,No
159,No,No
160,No,No
161,No,No
162,No,No
163,No,No
164,No,No
165,No,No
166,No,No
167,No,No
168,No,No
169,No,No
170,No,No
171,No,No
172,No,No
173,No,No
174,No,No
175,No,No
176,No,No
177,No,No
178,No,No
179,No,No
180,No,No
181,No,No
182,No,No
183,No,No
184,No,No
185,No,No
186,No,No
187,No,No
188,No,No
189,No,No
190,No,No
191,No,No
192,No,No
193,No,No
194,No,No
195,No,No
196,No,No
197,No,No
198,No,No
199,No,No
200,No,No
201,No,No
202,No,No
203,No,No
204,No,No
205,No,No
206,No,No
207,No,No
208,No,No
209,No,No
210,No,No
211,No,No
212,No,No
213,No,No
214,No,No
215,No,No
216,No,No
