crash_id,bus_involvement,heavy_rigid_truck_involvement,articulated_truck_involvement,vehicle_id
20241115,No,No,No,20241115_No_No_No
20241125,No,No,No,20241125_No_No_No
20246013,No,No,No,20246013_No_No_No
20241002,No,No,No,20241002_No_No_No
20243185,No,No,No,20243185_No_No_No
20244016,No,No,No,20244016_No_No_No
20243168,No,No,No,20243168_No_No_No
20246003,No,No,No,20246003_No_No_No
20246001,No,No,No,20246001_No_No_No
20244081,No,No,No,20244081_No_No_No
20241087,No,No,No,20241087_No_No_No
20241054,No,No,Yes,20241054_No_No_Yes
20244042,No,No,No,20244042_No_No_No
20243246,No,No,No,20243246_No_No_No
20241101,No,No,Yes,20241101_No_No_Yes
20241216,No,No,No,20241216_No_No_No
20241300,No,No,No,20241300_No_No_No
20243007,No,No,No,20243007_No_No_No
20241278,No,No,No,20241278_No_No_No
20241149,No,No,No,20241149_No_No_No
20241068,Yes,No,Yes,20241068_Yes_No_Yes
20243273,No,No,No,20243273_No_No_No
20244020,No,No,No,20244020_No_No_No
20244055,No,No,No,20244055_No_No_No
20241094,No,No,No,20241094_No_No_No
20243160,No,No,No,20243160_No_No_No
20243209,No,No,No,20243209_No_No_No
20244001,No,No,No,20244001_No_No_No
20243243,No,Yes,No,20243243_No_Yes_No
20246016,No,No,No,20246016_No_No_No
20241119,No,No,No,20241119_No_No_No
20241169,No,No,No,20241169_No_No_No
20241291,No,No,Yes,20241291_No_No_Yes
20243036,No,No,No,20243036_No_No_No
20244026,No,No,No,20244026_No_No_No
20241077,No,No,No,20241077_No_No_No
20241028,No,No,No,20241028_No_No_No
20241022,No,No,No,20241022_No_No_No
20243015,No,No,No,20243015_No_No_No
20244023,No,No,No,20244023_No_No_No
20241098,No,No,No,20241098_No_No_No
20243114,No,No,No,20243114_No_No_No
20241040,No,No,No,20241040_No_No_No
20241174,No,No,No,20241174_No_No_No
20241088,No,No,No,20241088_No_No_No
20241255,No,No,No,20241255_No_No_No
20241053,No,No,No,20241053_No_No_No
20243046,No,No,No,20243046_No_No_No
20241080,No,No,No,20241080_No_No_No
20243044,No,No,Yes,20243044_No_No_Yes
20241274,No,No,No,20241274_No_No_No
20243176,No,No,No,20243176_No_No_No
20241181,No,No,Yes,20241181_No_No_Yes
20243110,No,No,No,20243110_No_No_No
20244044,No,No,No,20244044_No_No_No
20243147,No,No,No,20243147_No_No_No
20244019,No,No,No,20244019_No_No_No
20241194,No,Yes,Yes,20241194_No_Yes_Yes
20241139,Yes,No,No,20241139_Yes_No_No
20241197,No,No,Yes,20241197_No_No_Yes
20243220,No,No,No,20243220_No_No_No
20243267,No,No,No,20243267_No_No_No
20241057,No,No,No,20241057_No_No_No
20243174,No,No,No,20243174_No_No_No
20241166,No,No,No,20241166_No_No_No
20243213,No,No,Yes,20243213_No_No_Yes
20241096,No,No,No,20241096_No_No_No
20242089,No,No,No,20242089_No_No_No
20243073,No,No,No,20243073_No_No_No
20241027,No,No,No,20241027_No_No_No
20241163,No,No,No,20241163_No_No_No
20243143,No,No,No,20243143_No_No_No
20241222,No,No,No,20241222_No_No_No
20241218,No,No,No,20241218_No_No_No
20243249,No,No,No,20243249_No_No_No
20243098,No,No,No,20243098_No_No_No
20241306,No,No,No,20241306_No_No_No
20243037,No,No,No,20243037_No_No_No
20244083,No,No,No,20244083_No_No_No
20241196,No,No,No,20241196_No_No_No
20244028,No,No,No,20244028_No_No_No
20243038,No,No,No,20243038_No_No_No
20242023,No,No,Yes,20242023_No_No_Yes
20242230,No,No,No,20242230_No_No_No
20242127,No,No,No,20242127_No_No_No
20242120,No,No,No,20242120_No_No_No
20241106,No,No,No,20241106_No_No_No
20241230,No,No,No,20241230_No_No_No
20241055,No,No,No,20241055_No_No_No
20241267,No,No,No,20241267_No_No_No
20242260,No,No,No,20242260_No_No_No
20242057,No,No,No,20242057_No_No_No
20243153,No,No,Yes,20243153_No_No_Yes
20242161,No,No,No,20242161_No_No_No
20241236,No,No,No,20241236_No_No_No
20243172,No,No,No,20243172_No_No_No
20241188,No,No,No,20241188_No_No_No
20243191,No,No,No,20243191_No_No_No
20241256,No,No,No,20241256_No_No_No
20242019,No,No,No,20242019_No_No_No
20243008,Yes,No,No,20243008_Yes_No_No
20243001,No,No,No,20243001_No_No_No
20243041,No,No,No,20243041_No_No_No
20244021,No,No,No,20244021_No_No_No
20243113,No,No,No,20243113_No_No_No
20241107,No,No,No,20241107_No_No_No
20243022,No,No,No,20243022_No_No_No
20248002,No,No,No,20248002_No_No_No
20242088,No,No,No,20242088_No_No_No
20241173,No,No,Yes,20241173_No_No_Yes
20241004,No,No,No,20241004_No_No_No
20246004,No,Yes,Yes,20246004_No_Yes_Yes
20241201,No,No,No,20241201_No_No_No
20241029,No,No,No,20241029_No_No_No
20243005,No,No,No,20243005_No_No_No
20241261,No,No,No,20241261_No_No_No
20244024,No,No,No,20244024_No_No_No
20241215,No,No,No,20241215_No_No_No
20243186,No,No,No,20243186_No_No_No
20243208,No,No,No,20243208_No_No_No
20241134,No,No,No,20241134_No_No_No
20243040,No,Yes,Yes,20243040_No_Yes_Yes
20241263,No,No,No,20241263_No_No_No
20241302,No,No,No,20241302_No_No_No
20241147,No,No,No,20241147_No_No_No
20243248,No,No,No,20243248_No_No_No
20243096,No,No,No,20243096_No_No_No
20241150,Yes,No,No,20241150_Yes_No_No
20241247,No,No,Yes,20241247_No_No_Yes
20241234,No,No,No,20241234_No_No_No
20242110,No,No,No,20242110_No_No_No
20242052,No,Yes,No,20242052_No_Yes_No
20243247,No,No,No,20243247_No_No_No
20243144,No,No,Yes,20243144_No_No_Yes
20241235,No,No,Yes,20241235_No_No_Yes
20243087,No,No,No,20243087_No_No_No
20244061,No,No,No,20244061_No_No_No
20241009,No,No,No,20241009_No_No_No
20241072,No,No,No,20241072_No_No_No
20243129,No,No,Yes,20243129_No_No_Yes
20242219,No,Yes,No,20242219_No_Yes_No
20241219,No,No,No,20241219_No_No_No
20244010,No,No,No,20244010_No_No_No
20244040,No,No,No,20244040_No_No_No
20243171,No,No,No,20243171_No_No_No
20242075,No,No,No,20242075_No_No_No
20243079,No,No,No,20243079_No_No_No
20241045,No,No,No,20241045_No_No_No
20243017,No,No,Yes,20243017_No_No_Yes
20241160,No,Yes,No,20241160_No_Yes_No
20241081,No,No,Yes,20241081_No_No_Yes
20241135,No,No,No,20241135_No_No_No
20241209,No,No,Yes,20241209_No_No_Yes
20242140,No,Yes,No,20242140_No_Yes_No
20242142,No,No,No,20242142_No_No_No
20243107,No,No,No,20243107_No_No_No
20243020,No,No,No,20243020_No_No_No
20241151,No,No,No,20241151_No_No_No
20243158,No,No,Yes,20243158_No_No_Yes
20241286,No,No,No,20241286_No_No_No
20243102,No,No,No,20243102_No_No_No
20241303,No,No,No,20241303_No_No_No
20246029,No,No,No,20246029_No_No_No
20248005,No,No,No,20248005_No_No_No
20244018,No,No,No,20244018_No_No_No
20241060,No,No,No,20241060_No_No_No
20242022,No,Yes,No,20242022_No_Yes_No
20241037,No,No,No,20241037_No_No_No
20241257,No,No,No,20241257_No_No_No
20241128,No,No,No,20241128_No_No_No
20243089,No,No,No,20243089_No_No_No
20242181,No,No,No,20242181_No_No_No
20243082,No,No,Yes,20243082_No_No_Yes
20243150,No,No,No,20243150_No_No_No
20243170,No,No,No,20243170_No_No_No
20243239,No,No,No,20243239_No_No_No
20242040,No,No,Yes,20242040_No_No_Yes
20243084,No,No,No,20243084_No_No_No
20241030,No,No,No,20241030_No_No_No
20243127,No,Yes,No,20243127_No_Yes_No
20243003,No,No,No,20243003_No_No_No
20243266,No,No,No,20243266_No_No_No
20241042,No,No,No,20241042_No_No_No
20243121,No,No,No,20243121_No_No_No
20241175,No,No,No,20241175_No_No_No
20243072,No,No,No,20243072_No_No_No
20244057,No,No,No,20244057_No_No_No
20241091,No,No,No,20241091_No_No_No
20243201,No,No,No,20243201_No_No_No
20242135,No,No,No,20242135_No_No_No
20243225,No,No,No,20243225_No_No_No
20241167,No,No,No,20241167_No_No_No
20244060,No,No,No,20244060_No_No_No
20241268,No,No,No,20241268_No_No_No
20244013,No,No,No,20244013_No_No_No
20243235,No,No,No,20243235_No_No_No
20244059,No,No,No,20244059_No_No_No
20241266,No,No,No,20241266_No_No_No
20243131,No,No,No,20243131_No_No_No
20242080,No,No,No,20242080_No_No_No
20241287,No,No,No,20241287_No_No_No
20241152,No,No,No,20241152_No_No_No
20243161,No,No,No,20243161_No_No_No
20242042,No,No,No,20242042_No_No_No
20243210,No,No,No,20243210_No_No_No
20244025,No,No,No,20244025_No_No_No
20243088,No,No,No,20243088_No_No_No
20241211,Yes,No,No,20241211_Yes_No_No
20242007,No,No,No,20242007_No_No_No
20241204,No,No,No,20241204_No_No_No
20244062,No,No,No,20244062_No_No_No
20241137,No,No,No,20241137_No_No_No
20243117,No,No,No,20243117_No_No_No
20242081,No,No,No,20242081_No_No_No
20243206,No,No,No,20243206_No_No_No
20248003,No,No,No,20248003_No_No_No
20244032,No,No,No,20244032_No_No_No
20241153,No,No,No,20241153_No_No_No
20242138,No,No,No,20242138_No_No_No
20243198,No,No,No,20243198_No_No_No
20242107,No,No,No,20242107_No_No_No
20243080,No,No,No,20243080_No_No_No
20242204,No,No,No,20242204_No_No_No
20242139,No,No,No,20242139_No_No_No
20241103,No,No,No,20241103_No_No_No
20242129,No,No,No,20242129_No_No_No
20244027,No,No,No,20244027_No_No_No
20243006,No,No,No,20243006_No_No_No
20243108,No,No,No,20243108_No_No_No
20243212,No,No,No,20243212_No_No_No
20241237,No,No,No,20241237_No_No_No
20241052,No,No,No,20241052_No_No_No
20241308,No,No,No,20241308_No_No_No
20246027,No,No,No,20246027_No_No_No
20244072,No,No,No,20244072_No_No_No
20241195,No,No,No,20241195_No_No_No
20244043,No,No,No,20244043_No_No_No
20241102,No,No,No,20241102_No_No_No
20243194,No,No,No,20243194_No_No_No
20243070,No,Yes,No,20243070_No_Yes_No
20243165,No,No,No,20243165_No_No_No
20241063,No,No,No,20241063_No_No_No
20241132,Yes,No,No,20241132_Yes_No_No
20241292,No,No,No,20241292_No_No_No
20241189,No,No,No,20241189_No_No_No
20241233,No,No,No,20241233_No_No_No
20242115,No,No,No,20242115_No_No_No
20242167,No,No,No,20242167_No_No_No
20241016,No,No,No,20241016_No_No_No
20243234,No,No,No,20243234_No_No_No
20246025,No,No,No,20246025_No_No_No
20241220,No,No,No,20241220_No_No_No
20241034,No,No,No,20241034_No_No_No
20242012,No,No,No,20242012_No_No_No
20243009,No,No,No,20243009_No_No_No
20241269,No,No,No,20241269_No_No_No
20242093,No,No,No,20242093_No_No_No
20242176,No,No,No,20242176_No_No_No
20242255,No,No,No,20242255_No_No_No
20241066,No,No,No,20241066_No_No_No
20242175,No,No,No,20242175_No_No_No
20243207,No,No,No,20243207_No_No_No
20242029,No,No,No,20242029_No_No_No
20241246,No,No,No,20241246_No_No_No
20241078,No,No,No,20241078_No_No_No
20243064,No,No,No,20243064_No_No_No
20241013,No,No,No,20241013_No_No_No
20246019,No,No,No,20246019_No_No_No
20242257,No,No,No,20242257_No_No_No
20241138,No,No,No,20241138_No_No_No
20244014,No,No,No,20244014_No_No_No
20244069,No,No,No,20244069_No_No_No
20242053,No,No,No,20242053_No_No_No
20243111,No,No,No,20243111_No_No_No
20243067,No,No,No,20243067_No_No_No
20242186,No,Yes,No,20242186_No_Yes_No
20242250,No,No,No,20242250_No_No_No
20243167,No,No,No,20243167_No_No_No
20243106,No,No,No,20243106_No_No_No
20242098,No,No,No,20242098_No_No_No
20241179,No,No,No,20241179_No_No_No
20242070,No,No,No,20242070_No_No_No
20243261,No,No,Yes,20243261_No_No_Yes
20243227,No,No,No,20243227_No_No_No
20242243,No,No,No,20242243_No_No_No
20242102,No,No,No,20242102_No_No_No
20241109,No,No,No,20241109_No_No_No
20243187,No,No,No,20243187_No_No_No
20241301,No,No,No,20241301_No_No_No
20243135,No,Yes,No,20243135_No_Yes_No
20241248,No,No,No,20241248_No_No_No
20243268,No,No,No,20243268_No_No_No
20242071,No,No,No,20242071_No_No_No
20241020,No,No,No,20241020_No_No_No
20241294,No,No,No,20241294_No_No_No
20241304,No,No,No,20241304_No_No_No
20242123,No,No,No,20242123_No_No_No
20242144,No,No,No,20242144_No_No_No
20241199,No,No,No,20241199_No_No_No
20243066,No,No,No,20243066_No_No_No
20243233,No,No,Yes,20243233_No_No_Yes
20243203,No,No,No,20243203_No_No_No
20242209,No,No,No,20242209_No_No_No
20242056,No,No,No,20242056_No_No_No
20242130,No,No,No,20242130_No_No_No
20243109,No,No,No,20243109_No_No_No
20243010,No,No,No,20243010_No_No_No
20243181,No,No,No,20243181_No_No_No
20246018,No,Yes,Yes,20246018_No_Yes_Yes
20241071,No,No,No,20241071_No_No_No
20241186,No,No,No,20241186_No_No_No
20243078,No,No,No,20243078_No_No_No
20241223,No,No,No,20241223_No_No_No
20241221,No,No,No,20241221_No_No_No
20241143,No,No,No,20241143_No_No_No
20243242,No,No,No,20243242_No_No_No
20242189,No,No,No,20242189_No_No_No
20242170,No,Yes,No,20242170_No_Yes_No
20243043,No,Yes,No,20243043_No_Yes_No
20241140,No,No,No,20241140_No_No_No
20244063,No,No,No,20244063_No_No_No
20241131,No,No,No,20241131_No_No_No
20242172,No,No,No,20242172_No_No_No
20241111,No,No,No,20241111_No_No_No
20242055,No,No,No,20242055_No_No_No
20241017,No,No,No,20241017_No_No_No
20244067,No,No,No,20244067_No_No_No
20246024,No,No,No,20246024_No_No_No
20241254,No,No,No,20241254_No_No_No
20243011,No,No,No,20243011_No_No_No
20246011,No,No,No,20246011_No_No_No
20242177,No,No,No,20242177_No_No_No
20241127,No,No,No,20241127_No_No_No
20241210,No,No,No,20241210_No_No_No
20242132,No,No,No,20242132_No_No_No
20242184,No,No,No,20242184_No_No_No
